,id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
0,375119858,2024-04-30 04:22:41,ZY,6075,30,BVB,service-acco,AutomaticNotificationAction,"2024-04-30 04:22:41,144 INFO  [3fc43b0d2af9531d] [ZY6075 /30 BVB | service-acco | AutomaticNotificationAction         |                                | Thread-24712 (ActiveMQ-client-global-threads)]  Received:",
1,375119859,2024-04-30 04:22:41,ZY,6075,30,BVB,service-acco,AutomaticNotificationAction,"2024-04-30 04:22:41,146 INFO  [3fc43b0d2af9531d] [ZY6075 /30 BVB | service-acco | AutomaticNotificationAction         |                                | Thread-24712 (ActiveMQ-client-global-threads)]  Saved:",STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
2,375120627,2024-04-30 05:02:44,ZY,119,30,NAT,service-acco,AutomaticNotificationAction,"2024-04-30 05:02:44,524 INFO  [f479b5e3ee955eba] [ZY119 /30 NAT | service-acco | AutomaticNotificationAction         |                                | Thread-24840 (ActiveMQ-client-global-threads)]  Received:",
3,375120699,2024-04-30 04:17:43,ZY,5027,30,SSA,service-acco,AutoLoadBulkAction,"2024-04-30 04:17:43,876 INFO  [a2561ff07178a194] [ZY5027 /30 SSA | service-acco | AutoLoadBulkAction                  |                                | Thread-24703 (ActiveMQ-client-global-threads)]  Received:","NULL
Loaded pre-autoload state:
POSITIONS
nilled : NULL 
blocked: NULL 
LOZYED ITEMS"
4,375120700,2024-04-30 04:17:43,ZY,5027,30,SSA,service-acco,AssignLoadplanAction,"2024-04-30 04:17:43,877 INFO  [a2561ff07178a194] [ZY5027 /30 SSA | service-acco | AssignLoadplanAction                |                                | Thread-24703 (ActiveMQ-client-global-threads)]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_NIL_ALL"
5,375120703,2024-04-30 04:17:43,ZY,5027,30,SSA,service-acco,AutoLoadBulkAction,"2024-04-30 04:17:43,883 INFO  [a2561ff07178a194] [ZY5027 /30 SSA | service-acco | AutoLoadBulkAction                  |                                | Thread-24703 (ActiveMQ-client-global-threads)]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9379886  flightId = 2285603 legId = 2396285  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42446717  NULL         ESTIMATE  72.00     KG   6         0.00      SSA       SSA       VCP       B         4         false      
STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1"
33,375122962,2024-04-30 04:32:44,ZY,119,30,NAT,service-acco,AutoLoadBulkAction,"2024-04-30 04:32:44,824 INFO  [36d9708b541e844e] [ZY119 /30 NAT | service-acco | AutoLoadBulkAction                  |                                | Thread-24740 (ActiveMQ-client-global-threads)]  Received:",
34,375122963,2024-04-30 04:32:44,ZY,119,30,NAT,service-acco,AssignLoadplanAction,"2024-04-30 04:32:44,826 INFO  [36d9708b541e844e] [ZY119 /30 NAT | service-acco | AssignLoadplanAction                |                                | Thread-24740 (ActiveMQ-client-global-threads)]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_NIL_ALL"
35,375122966,2024-04-30 04:32:44,ZY,119,30,NAT,service-acco,AutoLoadBulkAction,"2024-04-30 04:32:44,830 INFO  [36d9708b541e844e] [ZY119 /30 NAT | service-acco | AutoLoadBulkAction                  |                                | Thread-24740 (ActiveMQ-client-global-threads)]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9379882  flightId = 2285481 legId = 2396162  deleted = false  fragmentId = LoadFragment ]
STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1"
37,375122969,2024-04-30 04:42:42,ZY,5027,30,SSA,service-acco,AutomaticNotificationAction,"2024-04-30 04:42:42,553 INFO  [2cfcfd9a41fc428e] [ZY5027 /30 SSA | service-acco | AutomaticNotificationAction         |                                | Thread-24782 (ActiveMQ-client-global-threads)]  Received:",
38,375122970,2024-04-30 04:42:42,ZY,5027,30,SSA,service-acco,AutomaticNotificationAction,"2024-04-30 04:42:42,555 INFO  [2cfcfd9a41fc428e] [ZY5027 /30 SSA | service-acco | AutomaticNotificationAction         |                                | Thread-24782 (ActiveMQ-client-global-threads)]  Saved:",STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
54,375123488,2024-04-30 05:02:44,ZY,119,30,NAT,service-acco,AutomaticNotificationAction,"2024-04-30 05:02:44,525 INFO  [f479b5e3ee955eba] [ZY119 /30 NAT | service-acco | AutomaticNotificationAction         |                                | Thread-24840 (ActiveMQ-client-global-threads)]  Saved:",STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
