id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
137532184,2024-04-30 04:46:19,MN,1680.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:46:19,971 INFO  [83c960d9a2645e4d] [MN1680  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-1894]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : false
User name               : Louis Lupoyo
Confirmation message    : This aircraft has been loaded in accordance with mnop air loading instructions. I have instructed the high loader driver to engage all restraining locks and nets."
137532413,2024-04-30 04:46:17,MN,1680.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:46:17,430 INFO  [f7aa5ad39eb7a99e] [MN1680  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-2838]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
137532414,2024-04-30 04:46:17,MN,1680.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:46:17,432 INFO  [f7aa5ad39eb7a99e] [MN1680  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-2838]  Saved:",STATUS LOADING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CHECK_IN_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2
137532427,2024-04-30 04:46:19,MN,1680.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:46:19,973 INFO  [83c960d9a2645e4d] [MN1680  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-1894]  Saved:",STATUS LOADING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 RAMP_FINAL 1 CHECK_IN_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2
137533132,2024-04-30 04:54:12,MN,1602.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:54:12,566 INFO  [fe254287b1c0bf16] [MN1602  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-2832]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : false
User name               : Mark Lambe
Confirmation message    : This aircraft has been loaded in accordance with mnop air loading instructions. I have instructed the high loader driver to engage all restraining locks and nets."
137533135,2024-04-30 04:54:12,MN,1602.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:54:12,571 INFO  [fe254287b1c0bf16] [MN1602  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-2832]  Saved:",STATUS LOADING_INSTRUCTION 1 FUEL 27 AIRCRAFT_CONFIG 1 EZFW 25 CARGO_FINAL 1 RAMP_FINAL 1 CHECK_IN_FINAL 1 CARGO_TRANSFER 1 OFP 4 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 25 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2
137533464,2024-04-30 04:54:10,MN,1602.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:54:09,999 INFO  [6a3218c4b4436bcd] [MN1602  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-1894]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
137533485,2024-04-30 04:54:10,MN,1602.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:54:09,999 INFO  [6a3218c4b4436bcd] [MN1602  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-1894]  Sent:","Discrepancy check result
Discrepancy happend: true
Discrepancies
 Type                      Destination               Bag pieces                Bag weight               
LOADTABLE                  AMS                       45                        585.00  KG                
CKI                        AMS                       49                        637.00  KG                
SUM                        AMS                       4                         52.00   KG"
137533486,2024-04-30 04:54:10,MN,1602.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:54:09,999 INFO  [6a3218c4b4436bcd] [MN1602  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-1894]  Saved:",STATUS LOADING_INSTRUCTION 1 FUEL 27 AIRCRAFT_CONFIG 1 EZFW 25 CARGO_FINAL 1 CHECK_IN_FINAL 1 CARGO_TRANSFER 1 OFP 4 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 25 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2
137533800,2024-04-30 04:56:36,MN,1402.0,30.0,DUB,human,RampFinalAction,"2024-04-30 04:56:36,070 INFO  [1f78e8a6e3338968] [MN1402  /30 DUB | human     | RampFinalAction                     | Ramp Final                     | default task-2832]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
