departure_airport,departure_lat,departure_lon,count
VCP,-23.0074,-47.1345,339
CNF,-19.62444,-43.97194,177
DUB,53.4213,-6.27007,127
REC,-8.12649,-34.9236,124
GIG,-22.81,-43.25056,84
CWB,-25.5285,-49.1758,71
CGH,-23.62611,-46.65639,66
POA,-29.9944,-51.1714,61
GRU,-23.43556,-46.47306,40
BLR,13.1979,77.7063,39
BEL,-1.37925,-48.4763,36
SDU,-22.9105,-43.1631,36
BOM,19.0887,72.8679,34
CGB,-15.6529,-56.1167,32
NAT,-5.91142,-35.2477,30
MAO,-3.03861,-60.0497,29
MCZ,-9.51081,-35.7917,28
FOR,-3.77628,-38.5326,27
GYN,-16.632,-49.2207,27
SSA,-12.90861,-38.3225,27
BSB,-15.86917,-47.92083,26
BPS,-16.4386,-39.0809,25
LHR,51.4706,-0.46194,20
UDI,-18.88361,-48.22528,20
VIX,-20.25806,-40.28639,19
DEL,28.5665,77.1031,16
FLN,-27.67028,-48.5525,16
RAO,-21.13639,-47.77667,15
AJU,-10.984,-37.0703,14
SJP,-20.8166,-49.4065,13
IGU,-25.60028,-54.485,13
GOX,15.7322,73.868,13
NVT,-26.88,-48.6514,13
JPA,-7.14583,-34.94861,12
LDB,-23.3336,-51.1301,12
SLZ,-2.58536,-44.2341,12
CPV,-7.26992,-35.8964,11
CGR,-20.4687,-54.6725,11
PNQ,18.5821,73.9197,10
JTC,-22.15783,-49.06833,10
MGF,-23.47944,-52.01222,9
PPB,-22.1751,-51.4246,9
AMD,23.0772,72.6347,9
IOS,-14.816,-39.0332,8
FEN,-3.85493,-32.4233,7
MOC,-16.7069,-43.8189,7
CAC,-25.0003,-53.5008,7
JOI,-26.2245,-48.7974,6
HYD,17.23132,78.42986,6
CCU,22.6547,88.4467,5
LKO,26.7606,80.8893,5
XAP,-27.1342,-52.6566,5
MAN,53.3537,-2.27495,5
PMW,-10.2915,-48.357,5
IPN,-19.4707,-42.4876,5
JDO,-7.21896,-39.2701,5
STM,-2.42472,-54.78583,5
ORK,51.8413,-8.49111,5
BVB,2.84139,-60.69222,4
JFK,40.63993,-73.77869,4
PVH,-8.70929,-63.9023,4
VNS,25.45117,82.85867,4
FLL,26.07167,-80.14969,4
CKS,-6.11528,-50.00139,4
MVD,-34.8384,-56.0308,4
UBA,-19.76472,-47.96611,4
THE,-5.05994,-42.8235,4
IZA,-21.51306,-43.17306,4
OPS,-11.885,-55.58611,3
MAB,-5.36859,-49.138,3
MCP,0.05066,-51.0722,3
MCO,28.42939,-81.309,3
LIS,38.7813,-9.13592,3
PNZ,-9.36241,-40.5691,3
VDC,-14.90783,-40.91467,3
ARU,-21.1413,-50.4247,3
UNA,-15.3552,-38.999,3
IXB,26.6812,88.3286,3
GVR,-18.8952,-41.9822,3
BOS,42.36294,-71.00639,3
FAO,37.0144,-7.96591,3
COK,10.152,76.4019,3
SNN,52.702,-8.92482,2
