Unnamed: 0,id,creation_time,flight_number,flight_date,departure_airport,action_name
0,375119858,2024-04-30 04:22:41,6075,30,BVB,AutomaticNotificationAction
1,375119859,2024-04-30 04:22:41,6075,30,BVB,AutomaticNotificationAction
2,375120627,2024-04-30 05:02:44,119,30,NAT,AutomaticNotificationAction
3,375120699,2024-04-30 04:17:43,5027,30,SSA,AutoLoadBulkAction
4,375120700,2024-04-30 04:17:43,5027,30,SSA,AssignLoadplanAction
5,375120703,2024-04-30 04:17:43,5027,30,SSA,AutoLoadBulkAction
33,375122962,2024-04-30 04:32:44,119,30,NAT,AutoLoadBulkAction
34,375122963,2024-04-30 04:32:44,119,30,NAT,AssignLoadplanAction
35,375122966,2024-04-30 04:32:44,119,30,NAT,AutoLoadBulkAction
37,375122969,2024-04-30 04:42:42,5027,30,SSA,AutomaticNotificationAction
38,375122970,2024-04-30 04:42:42,5027,30,SSA,AutomaticNotificationAction
54,375123488,2024-04-30 05:02:44,119,30,NAT,AutomaticNotificationAction
6111,375192725,2024-05-01 00:47:27,119,30,NAT,AutomaticNotificationAction
6112,375192726,2024-05-01 00:47:27,119,30,NAT,AutomaticNotificationAction
6142,375192849,2024-05-01 00:47:21,119,30,NAT,AutoLoadBulkAction
6143,375192850,2024-05-01 00:47:21,119,30,NAT,AssignLoadplanAction
6144,375192853,2024-05-01 00:47:21,119,30,NAT,AutoLoadBulkAction
6367,375194013,2024-05-01 00:47:48,6075,30,BVB,AutoLoadBulkAction
6368,375194014,2024-05-01 00:47:48,6075,30,BVB,AssignLoadplanAction
6369,375194017,2024-05-01 00:47:48,6075,30,BVB,AutoLoadBulkAction
6394,375194164,2024-05-01 00:47:49,6075,30,BVB,AutomaticNotificationAction
6395,375194165,2024-05-01 00:47:49,6075,30,BVB,AutomaticNotificationAction
7974,375202340,2024-05-01 03:54:20,6075,1,BVB,AutoLoadBulkAction
7975,375202341,2024-05-01 03:54:20,6075,1,BVB,AssignLoadplanAction
7976,375202344,2024-05-01 03:54:20,6075,1,BVB,AutoLoadBulkAction
8012,375204792,2024-05-01 04:24:38,6075,1,BVB,AutomaticNotificationAction
8013,375204793,2024-05-01 04:24:38,6075,1,BVB,AutomaticNotificationAction
8022,375204954,2024-05-01 04:19:42,5027,1,SSA,AutoLoadBulkAction
8023,375204955,2024-05-01 04:19:42,5027,1,SSA,AssignLoadplanAction
8024,375204958,2024-05-01 04:19:42,5027,1,SSA,AutoLoadBulkAction
8039,375205076,2024-05-01 04:44:40,5027,1,SSA,AutomaticNotificationAction
8040,375205077,2024-05-01 04:44:40,5027,1,SSA,AutomaticNotificationAction
10894,375253017,2024-05-02 03:55:04,6075,2,BVB,AutoLoadBulkAction
10895,375253018,2024-05-02 03:55:04,6075,2,BVB,AssignLoadplanAction
