Unnamed: 0,id,creation_time,flight_number,flight_date,departure_airport,action_name
0,137524484,2024-04-30 04:01:47,1262,30,DUB,AssignLoadplanAction
1,137524940,2024-04-30 04:01:50,1262,30,DUB,AssignLoadplanAction
2,137524943,2024-04-30 04:01:50,1262,30,DUB,AssignLoadplanAction
3,137524964,2024-04-30 04:05:32,1630,30,DUB,AssignLoadplanAction
4,137525021,2024-04-30 04:02:12,1202,30,DUB,AssignLoadplanAction
5,137525024,2024-04-30 04:02:12,1202,30,DUB,AssignLoadplanAction
6,137525029,2024-04-30 04:02:21,1202,30,DUB,AssignLoadplanAction
7,137525032,2024-04-30 04:02:21,1202,30,DUB,AssignLoadplanAction
8,137525033,2024-04-30 04:02:24,1202,30,DUB,AssignLoadplanAction
9,137525036,2024-04-30 04:02:24,1202,30,DUB,AssignLoadplanAction
12,137525047,2024-04-30 04:01:47,1262,30,DUB,AssignLoadplanAction
16,137525066,2024-04-30 04:01:52,1262,30,DUB,AssignLoadplanAction
17,137525074,2024-04-30 04:02:27,1202,30,DUB,AssignLoadplanAction
37,137525567,2024-04-30 04:05:28,1630,30,DUB,AssignLoadplanAction
38,137525570,2024-04-30 04:05:28,1630,30,DUB,AssignLoadplanAction
39,137525768,2024-04-30 04:05:35,1630,30,DUB,AssignLoadplanAction
40,137525771,2024-04-30 04:05:35,1630,30,DUB,AssignLoadplanAction
41,137525787,2024-04-30 04:05:32,1630,30,DUB,AssignLoadplanAction
42,137525873,2024-04-30 04:05:38,1630,30,DUB,AssignLoadplanAction
43,137525876,2024-04-30 04:05:38,1630,30,DUB,AssignLoadplanAction
44,137525970,2024-04-30 04:05:41,1630,30,DUB,AssignLoadplanAction
45,137525973,2024-04-30 04:05:41,1630,30,DUB,AssignLoadplanAction
46,137525976,2024-04-30 04:05:44,1630,30,DUB,AssignLoadplanAction
225,137529934,2024-04-30 04:40:23,1202,1,DUB,AssignLCCAction
226,137529939,2024-04-30 04:40:23,1202,1,DUB,AssignLCCAction
233,137529995,2024-04-30 04:40:28,1262,1,DUB,AssignLCCAction
234,137530000,2024-04-30 04:40:28,1262,1,DUB,AssignLCCAction
278,137530624,2024-04-30 04:40:55,1630,1,DUB,AssignLCCAction
283,137530669,2024-04-30 04:40:55,1630,1,DUB,AssignLCCAction
291,137532135,2024-04-30 04:44:37,1630,30,DUB,AssignLoadplanAction
323,137540867,2024-04-30 05:27:17,1262,30,DUB,ASMMsgProcessor
324,137540870,2024-04-30 05:27:17,1262,30,DUB,ASMMsgProcessor
327,137541048,2024-04-30 05:28:02,1202,30,DUB,ASMMsgProcessor
328,137541051,2024-04-30 05:28:02,1202,30,DUB,ASMMsgProcessor
348,137544551,2024-04-30 05:44:15,1262,30,DUB,ASMMsgProcessor
349,137544554,2024-04-30 05:44:15,1262,30,DUB,ASMMsgProcessor
354,137545045,2024-04-30 05:46:52,1202,30,DUB,ASMMsgProcessor
355,137545048,2024-04-30 05:46:52,1202,30,DUB,ASMMsgProcessor
361,137545738,2024-04-30 05:52:09,1630,30,DUB,ASMMsgProcessor
362,137545741,2024-04-30 05:52:09,1630,30,DUB,ASMMsgProcessor
401,137547510,2024-04-30 06:04:02,1630,30,DUB,ASMMsgProcessor
402,137547513,2024-04-30 06:04:02,1630,30,DUB,ASMMsgProcessor
479,137551175,2024-04-30 06:29:03,1262,1,DUB,AssignLoadplanAction
480,137551178,2024-04-30 06:29:03,1262,1,DUB,AssignLoadplanAction
490,137551318,2024-04-30 06:28:15,1202,1,DUB,AssignLoadplanAction
491,137551321,2024-04-30 06:28:15,1202,1,DUB,AssignLoadplanAction
492,137551365,2024-04-30 06:28:17,1202,1,DUB,AssignLoadplanAction
493,137551368,2024-04-30 06:28:17,1202,1,DUB,AssignLoadplanAction
495,137551462,2024-04-30 06:29:05,1262,1,DUB,AssignLoadplanAction
496,137551465,2024-04-30 06:29:05,1262,1,DUB,AssignLoadplanAction
497,137551466,2024-04-30 06:29:08,1262,1,DUB,AssignLoadplanAction
498,137551469,2024-04-30 06:29:08,1262,1,DUB,AssignLoadplanAction
550,137552205,2024-04-30 06:35:10,1630,30,DUB,ASMMsgProcessor
551,137552208,2024-04-30 06:35:10,1630,30,DUB,ASMMsgProcessor
562,137553044,2024-04-30 06:36:22,1630,1,DUB,AssignLoadplanAction
565,137553066,2024-04-30 06:36:27,1630,1,DUB,AssignLoadplanAction
566,137553069,2024-04-30 06:36:27,1630,1,DUB,AssignLoadplanAction
567,137553087,2024-04-30 06:36:22,1630,1,DUB,AssignLoadplanAction
775,137556375,2024-04-30 07:32:36,1202,1,DUB,ASMMsgProcessor
776,137556377,2024-04-30 07:32:36,1202,1,DUB,AssignLCCAction
783,137556525,2024-04-30 07:32:36,1202,1,DUB,AssignLCCAction
784,137556526,2024-04-30 07:32:36,1202,1,DUB,AssignLCCAction
785,137556532,2024-04-30 07:32:36,1202,1,DUB,AssignLCCAction
786,137556534,2024-04-30 07:32:36,1202,1,DUB,ASMMsgProcessor
842,137559008,2024-04-30 08:01:36,1262,1,DUB,ASMMsgProcessor
843,137559010,2024-04-30 08:01:36,1262,1,DUB,AssignLCCAction
844,137559018,2024-04-30 08:01:36,1262,1,DUB,AssignLCCAction
845,137559019,2024-04-30 08:01:36,1262,1,DUB,AssignLCCAction
850,137559125,2024-04-30 08:01:36,1262,1,DUB,AssignLCCAction
851,137559127,2024-04-30 08:01:36,1262,1,DUB,ASMMsgProcessor
938,137561297,2024-04-30 08:21:35,1202,1,DUB,ASMMsgProcessor
939,137561299,2024-04-30 08:21:35,1202,1,DUB,AssignLCCAction
953,137561406,2024-04-30 08:21:35,1202,1,DUB,AssignLCCAction
954,137561407,2024-04-30 08:21:35,1202,1,DUB,AssignLCCAction
955,137561412,2024-04-30 08:21:35,1202,1,DUB,AssignLCCAction
956,137561414,2024-04-30 08:21:35,1202,1,DUB,ASMMsgProcessor
1506,137577076,2024-04-30 10:36:43,1202,1,DUB,AssignLCCAction
1507,137577084,2024-04-30 10:36:43,1202,1,DUB,AssignLCCAction
1512,137577178,2024-04-30 10:36:53,1262,1,DUB,AssignLCCAction
1520,137577306,2024-04-30 10:36:53,1262,1,DUB,AssignLCCAction
2224,137625352,2024-04-30 17:43:36,1202,2,DUB,ASMMsgProcessor
2225,137625354,2024-04-30 17:43:36,1202,2,DUB,AssignLCCAction
2226,137625359,2024-04-30 17:43:36,1202,2,DUB,AssignLCCAction
2227,137625360,2024-04-30 17:43:36,1202,2,DUB,AssignLCCAction
2228,137625364,2024-04-30 17:43:36,1202,2,DUB,AssignLCCAction
2270,137625776,2024-04-30 17:43:35,1262,2,DUB,ASMMsgProcessor
2271,137625778,2024-04-30 17:43:35,1262,2,DUB,AssignLCCAction
2272,137625783,2024-04-30 17:43:35,1262,2,DUB,AssignLCCAction
2273,137625784,2024-04-30 17:43:35,1262,2,DUB,AssignLCCAction
