departure_airport,departure_lat,departure_lon,count
DUB,53.4213,-6.27007,118943
BLR,13.1979,77.7063,25678
BOM,19.0887,72.8679,25244
VCP,-23.0074,-47.1345,14325
DEL,28.5665,77.1031,13362
GOX,15.7322,73.868,9861
AMD,23.0772,72.6347,8157
PNQ,18.5821,73.9197,8022
REC,-8.12649,-34.9236,7738
CNF,-19.62444,-43.97194,7652
LHR,51.4706,-0.46194,6678
JFK,40.63993,-73.77869,5050
CCU,22.6547,88.4467,4687
BOS,42.36294,-71.00639,3990
HYD,17.23132,78.42986,3887
VNS,25.45117,82.85867,3791
GAU,26.1061,91.5859,3709
CGH,-23.62611,-46.65639,3186
LKO,26.7606,80.8893,3161
IXB,26.6812,88.3286,2998
ORD,41.97694,-87.90815,2983
CWB,-25.5285,-49.1758,2882
SDU,-22.9105,-43.1631,2737
POA,-29.9944,-51.1714,2688
IAD,38.9,-77.5,2509
GRU,-23.43556,-46.47306,2387
GIG,-22.81,-43.25056,2272
BEL,-1.37925,-48.4763,2049
MAA,12.99001,80.1693,1834
CGB,-15.6529,-56.1167,1663
ORK,51.8413,-8.49111,1651
MCO,28.42939,-81.309,1567
YYZ,43.6772,-79.6306,1507
NOC,53.9103,-8.81849,1442
BSB,-15.86917,-47.92083,1426
SSA,-12.90861,-38.3225,1344
MAO,-3.03861,-60.0497,1279
LAX,33.9425,-118.40805,1238
EWR,40.69248,-74.16869,1221
MAN,53.3537,-2.27495,1210
FOR,-3.77628,-38.5326,1184
BDL,41.93903,-72.68432,1180
COK,10.152,76.4019,1140
GYN,-16.632,-49.2207,1109
AYJ,26.74803,82.15078,1096
BBI,20.2444,85.8178,1088
IXA,23.887,91.2404,1083
SFO,37.61881,-122.37542,1081
PHL,39.87208,-75.24066,1019
IXZ,11.6412,92.7297,1003
MSP,44.88197,-93.22178,950
NAT,-5.91142,-35.2477,850
VIX,-20.25806,-40.28639,830
MCZ,-9.51081,-35.7917,819
SXR,33.9871,74.7742,809
FLN,-27.67028,-48.5525,729
SEA,47.44989,-122.31178,715
BGI,13.0746,-59.4925,649
RAO,-21.13639,-47.77667,628
UDI,-18.88361,-48.22528,606
CLE,41.40941,-81.85469,561
AJU,-10.984,-37.0703,547
BPS,-16.4386,-39.0809,514
FAO,37.0144,-7.96591,489
IGU,-25.60028,-54.485,484
SLZ,-2.58536,-44.2341,467
FEN,-3.85493,-32.4233,458
CPV,-7.26992,-35.8964,441
LDB,-23.3336,-51.1301,428
GWL,26.2933,78.2278,427
SJP,-20.8166,-49.4065,423
AGP,36.6749,-4.49911,420
MUC,48.3538,11.7861,418
CGR,-20.4687,-54.6725,386
MGF,-23.47944,-52.01222,359
THE,-5.05994,-42.8235,337
JPA,-7.14583,-34.94861,337
NVT,-26.88,-48.6514,325
XAP,-27.1342,-52.6566,307
MOC,-16.7069,-43.8189,300
IPN,-19.4707,-42.4876,293
PPB,-22.1751,-51.4246,289
JDO,-7.21896,-39.2701,288
VCE,45.5053,12.3519,287
JOI,-26.2245,-48.7974,256
LIS,38.7813,-9.13592,255
STM,-2.42472,-54.78583,248
PGF,42.7404,2.87067,241
JTC,-22.15783,-49.06833,238
PNZ,-9.36241,-40.5691,234
DOH,25.26059,51.61377,231
ORY,48.7253,2.35944,197
BVB,2.84139,-60.69222,185
IOS,-14.816,-39.0332,184
CAC,-25.0003,-53.5008,184
OPS,-11.885,-55.58611,171
CDG,49.0128,2.55,170
MAB,-5.36859,-49.138,165
CKS,-6.11528,-50.00139,152
FLL,26.07167,-80.14969,151
SNN,52.702,-8.92482,150
IZA,-21.51306,-43.17306,144
PMW,-10.2915,-48.357,144
PVH,-8.70929,-63.9023,134
VDC,-14.90783,-40.91467,133
MII,-22.1969,-49.9264,126
ARU,-21.1413,-50.4247,125
MCP,0.05066,-51.0722,125
UBA,-19.76472,-47.96611,121
NAP,40.886,14.2908,114
PFB,-28.244,-52.3266,103
ATM,-3.25391,-52.254,90
MVD,-34.8384,-56.0308,89
AFL,-9.86639,-56.105,85
IMP,-5.53129,-47.46,76
BRA,-12.0789,-45.009,75
TFF,-3.38294,-64.7241,70
BVH,-12.6944,-60.0983,65
CFB,-22.9217,-42.0743,64
CXJ,-29.1971,-51.1875,63
FCO,41.8045,12.2508,59
TLS,43.6291,1.36382,58
GVR,-18.8952,-41.9822,58
CAW,-21.6983,-41.3017,57
TBT,-4.25567,-69.9358,57
DUS,51.2895,6.76678,53
PIN,-2.67302,-56.7772,49
FEC,-12.2003,-38.9068,48
ROO,-16.586,-54.7248,45
MAD,40.4936,-3.56676,44
GEL,-28.2817,-54.1691,44
RIA,-29.7114,-53.6882,43
PDP,-34.8551,-55.0943,41
GPB,-25.3875,-51.5202,41
OAL,-11.49121,-61.45261,41
BYO,-21.22944,-56.45611,41
ITB,-4.24234,-56.0007,39
AAX,-19.5632,-46.9604,38
PMG,-22.5496,-55.7026,37
UNA,-15.3552,-38.999,37
TJL,-20.75444,-51.68389,35
URG,-29.7822,-57.0382,35
CMG,-19.01194,-57.67139,32
GNM,-14.2082,-42.7461,30
PAV,-9.40088,-38.2506,28
PET,-31.7184,-52.3277,28
JPR,-10.8708,-61.8465,27
SJL,-0.14835,-66.9855,27
RVD,-17.83472,-50.95611,23
PGZ,-25.1847,-50.1441,22
LEC,-12.4823,-41.277,19
MVF,-5.20192,-37.3643,19
CLV,-17.7253,-48.6075,17
CUR,12.1889,-68.9598,17
MDZ,-32.8317,-68.7929,17
PHB,-2.89375,-41.732,16
VAG,-21.5901,-45.4733,16
PTO,-26.2178,-52.6943,16
TFL,-17.8923,-41.5136,14
POJ,-18.6728,-46.4912,11
JJD,-2.90667,-40.358,11
TMT,-1.4896,-56.3968,7
RBB,-4.40634,-59.6024,7
MNX,-5.81138,-61.2783,6
BOD,44.8283,-0.71556,4
ERN,-6.63953,-69.8798,3
BRB,-2.75556,-42.81,3
MEU,-0.88984,-52.6022,2
HAM,53.6304,9.98823,2
RUP,26.1397,89.91,2
RBR,-9.86889,-67.89806,1
DXB,25.2528,55.3644,1
SOD,-23.478,-47.49,1
SIN,1.35019,103.994,1
RVY,-30.9746,-55.4762,1
LPA,27.9319,-15.3866,1
CMH,39.99695,-82.89216,1
SIG,18.45678,-66.09847,1
