id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
33767571,2024-04-30 04:04:04,AB,2492.0,30.0,VNS,human,RampFinalAction,"2024-04-30 04:04:04,152 INFO  [8691f7fa4aa6fdf7] [AB2492 /30 VNS | human      | RampFinalAction                     | Ramp Final                     | default task-50]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
33767574,2024-04-30 04:04:04,AB,2492.0,30.0,VNS,human,RampFinalAction,"2024-04-30 04:04:04,154 INFO  [8691f7fa4aa6fdf7] [AB2492 /30 VNS | human      | RampFinalAction                     | Ramp Final                     | default task-50]  Saved:",STATUS LOADING_INSTRUCTION 1 FUEL 4 AIRCRAFT_CONFIG 1 EZFW 3 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 CHECK_IN_OPEN 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 3 REGISTRATION 1 REGISTRATION_CHANGE 5
33767428,2024-04-30 04:12:17,AB,2382.0,30.0,BBI,human,RampFinalAction,"2024-04-30 04:12:17,835 INFO  [4193ad924bc74385] [AB2382 /30 BBI | human      | RampFinalAction                     | Ramp Final                     | default task-52]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
33767431,2024-04-30 04:12:17,AB,2382.0,30.0,BBI,human,RampFinalAction,"2024-04-30 04:12:17,837 INFO  [4193ad924bc74385] [AB2382 /30 BBI | human      | RampFinalAction                     | Ramp Final                     | default task-52]  Saved:",STATUS LOADING_INSTRUCTION 1 FUEL 3 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 CHECK_IN_OPEN 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 3
33769478,2024-04-30 04:34:12,AB,2172.0,30.0,BOM,human,RampFinalAction,"2024-04-30 04:34:12,595 INFO  [78eb26c53a1eff68] [AB2172 /30 BOM | human      | RampFinalAction                     | Ramp Final                     | default task-12]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
33769721,2024-04-30 04:34:12,AB,2172.0,30.0,BOM,human,RampFinalAction,"2024-04-30 04:34:12,597 INFO  [78eb26c53a1eff68] [AB2172 /30 BOM | human      | RampFinalAction                     | Ramp Final                     | default task-12]  Saved:",STATUS LOADING_INSTRUCTION 2 FUEL 3 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 CHECK_IN_OPEN 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 6
33770545,2024-04-30 04:42:40,AB,2486.0,30.0,IXZ,human,RampFinalAction,"2024-04-30 04:42:40,513 INFO  [5cdeee74011899c2] [AB2486 /30 IXZ | human        | RampFinalAction                     | Ramp Final                     | default task-36]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
33770548,2024-04-30 04:42:40,AB,2486.0,30.0,IXZ,human,RampFinalAction,"2024-04-30 04:42:40,514 INFO  [5cdeee74011899c2] [AB2486 /30 IXZ | human        | RampFinalAction                     | Ramp Final                     | default task-36]  Saved:",STATUS LOADING_INSTRUCTION 2 FUEL 3 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 CHECK_IN_OPEN 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 6
33770845,2024-04-30 04:47:57,AB,2607.0,30.0,DEL,human,RampFinalAction,"2024-04-30 04:47:57,249 INFO  [9cdde0abafc247b0] [AB2607 /30 DEL | human       | RampFinalAction                     | Ramp Final                     | default task-17]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
33770848,2024-04-30 04:47:57,AB,2607.0,30.0,DEL,human,RampFinalAction,"2024-04-30 04:47:57,250 INFO  [9cdde0abafc247b0] [AB2607 /30 DEL | human       | RampFinalAction                     | Ramp Final                     | default task-17]  Saved:",STATUS LOADING_INSTRUCTION 2 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 TRANSIT_ACCEPTANCE 1 TRANSIT_PAX 1 CALC_HIST_DATA 1 CHECK_IN_OPEN 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 5
