id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
375134606,2024-04-30 10:53:52,ZY,999.0,30.0,GRU,human,RampFinalAction,"2024-04-30 10:53:52,884 INFO  [ff3b8786eb7e3c9b] [ZY999 /30 GRU | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
375134607,2024-04-30 10:53:52,ZY,999.0,30.0,GRU,human,RampFinalAction,"2024-04-30 10:53:52,886 INFO  [ff3b8786eb7e3c9b] [ZY999 /30 GRU | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Sent:","Discrepancy check result
Discrepancy happend: true
Discrepancies
 Type                      Destination               Bag pieces                Bag weight               
LOZYTABLE                  REC                       170                       3400.00 KG                
CKI                        REC                       0                         0.00    KG                
SUM                        REC                       170                       3400.00 KG"
375134688,2024-04-30 10:53:52,ZY,999.0,30.0,GRU,human,RampFinalAction,"2024-04-30 10:53:52,887 INFO  [ff3b8786eb7e3c9b] [ZY999 /30 GRU | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0
375134716,2024-04-30 10:53:56,ZY,999.0,30.0,GRU,human,RampFinalAction,"2024-04-30 10:53:56,031 INFO  [9612ca2f0bec15b4] [ZY999 /30 GRU | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : false"
375134719,2024-04-30 10:53:56,ZY,999.0,30.0,GRU,human,RampFinalAction,"2024-04-30 10:53:56,036 INFO  [9612ca2f0bec15b4] [ZY999 /30 GRU | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0
375138477,2024-04-30 12:47:14,ZY,4483.0,30.0,BEL,human,RampFinalAction,"2024-04-30 12:47:14,028 INFO  [6852fb4f4bf137a8] [ZY4483 /30 BEL | human | RampFinalAction                     | Ramp Final                     | default task-127]  Received:","Caller user             : humanira
Close ramp              : true
Check discrepancy       : true"
375138480,2024-04-30 12:47:14,ZY,4483.0,30.0,BEL,human,RampFinalAction,"2024-04-30 12:47:14,032 INFO  [6852fb4f4bf137a8] [ZY4483 /30 BEL | human | RampFinalAction                     | Ramp Final                     | default task-127]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 3 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0
375139115,2024-04-30 13:10:57,ZY,9888.0,30.0,LIS,human,RampFinalAction,"2024-04-30 13:10:57,447 INFO  [1bfa8ce2ffd16128] [ZY9888 /30 LIS | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : true"
375139116,2024-04-30 13:10:57,ZY,9888.0,30.0,LIS,human,RampFinalAction,"2024-04-30 13:10:57,448 INFO  [1bfa8ce2ffd16128] [ZY9888 /30 LIS | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Sent:","Discrepancy check result
Discrepancy happend: true
Discrepancies
 Type                      Destination               Bag pieces                Bag weight               
LOZYTABLE                  VCP                       200                       4000.00 KG                
CKI                        VCP                       0                         0.00    KG                
SUM                        VCP                       200                       4000.00 KG"
375139117,2024-04-30 13:10:57,ZY,9888.0,30.0,LIS,human,RampFinalAction,"2024-04-30 13:10:57,450 INFO  [1bfa8ce2ffd16128] [ZY9888 /30 LIS | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 1 AIRCRAFT_CONFIG 1 EZFW 9 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 9 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0
375139118,2024-04-30 13:11:04,ZY,9888.0,30.0,LIS,human,RampFinalAction,"2024-04-30 13:11:04,238 INFO  [e0ae8203d0048dcb] [ZY9888 /30 LIS | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : false"
375139121,2024-04-30 13:11:04,ZY,9888.0,30.0,LIS,human,RampFinalAction,"2024-04-30 13:11:04,242 INFO  [e0ae8203d0048dcb] [ZY9888 /30 LIS | human  | RampFinalAction                     | Ramp Final                     | default task-127]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 1 AIRCRAFT_CONFIG 1 EZFW 9 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 9 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0
375143663,2024-04-30 15:57:33,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:57:33,154 INFO  [89b2402e487fcc6c] [ZY9700 /30 ORY | human | RampFinalAction                     | Reopen Ramp                    | default task-131]  Received:","Caller user             : humanira
Close ramp              : false
Check discrepancy       : false
User name               : humanira
Confirmation message    : NULL"
375143666,2024-04-30 15:57:33,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:57:33,158 INFO  [89b2402e487fcc6c] [ZY9700 /30 ORY | human | RampFinalAction                     | Reopen Ramp                    | default task-131]  Saved:",STATUS LOZYSHEET 1 LOZYING_INSTRUCTION 1 FUEL 3 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1
375144352,2024-04-30 15:54:03,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:54:03,995 INFO  [57146b1bdf907bc5] [ZY9700 /30 ORY | human | RampFinalAction                     | Ramp Final                     | default task-132]  Received:","Caller user             : humanira
Close ramp              : true
Check discrepancy       : true"
375144353,2024-04-30 15:54:03,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:54:03,996 INFO  [57146b1bdf907bc5] [ZY9700 /30 ORY | human | RampFinalAction                     | Ramp Final                     | default task-132]  Sent:","Discrepancy check result
Discrepancy happend: true
Discrepancies
 Type                      Destination               Bag pieces                Bag weight               
LOZYTABLE                  REC                       298                       5960.00 KG                
CKI                        REC                       0                         0.00    KG                
SUM                        REC                       298                       5960.00 KG                
LOZYTABLE                  VCP                       0                         0.00    KG                
CKI                        VCP                       0                         0.00    KG"
375144354,2024-04-30 15:54:03,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:54:03,998 INFO  [57146b1bdf907bc5] [ZY9700 /30 ORY | human | RampFinalAction                     | Ramp Final                     | default task-132]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
375144371,2024-04-30 15:54:07,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:54:07,542 INFO  [9ea552f2878bfb07] [ZY9700 /30 ORY | human | RampFinalAction                     | Ramp Final                     | default task-132]  Received:","Caller user             : humanira
Close ramp              : true
Check discrepancy       : false"
375144374,2024-04-30 15:54:07,ZY,9700.0,30.0,ORY,human,RampFinalAction,"2024-04-30 15:54:07,547 INFO  [9ea552f2878bfb07] [ZY9700 /30 ORY | human | RampFinalAction                     | Ramp Final                     | default task-132]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
375144504,2024-04-30 15:59:29,ZY,9700.0,30.0,REC,human,RampFinalAction,"2024-04-30 15:59:29,653 INFO  [eedee6c38210014b] [ZY9700 /30 REC | human | RampFinalAction                     | Ramp Final                     | default task-131]  Received:","Caller user             : humanira
Close ramp              : true
Check discrepancy       : true"
375144507,2024-04-30 15:59:29,ZY,9700.0,30.0,REC,human,RampFinalAction,"2024-04-30 15:59:29,657 INFO  [eedee6c38210014b] [ZY9700 /30 REC | human | RampFinalAction                     | Ramp Final                     | default task-131]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 TRANSIT_ACCEPTANCE 1 TRANSIT_PAX 1 AUTO_MODE_ACTIVE 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
375243843,2024-05-01 18:06:42,ZY,2111.0,1.0,SDU,human,RampFinalAction,"2024-05-01 18:06:42,224 INFO  [5209a31d1088dd72] [ZY2111 /01 SDU | human  | RampFinalAction                     | Ramp Final                     | default task-163]  Received:","Caller user             : human
Close ramp              : true
Check discrepancy       : false"
375243846,2024-05-01 18:06:42,ZY,2111.0,1.0,SDU,human,RampFinalAction,"2024-05-01 18:06:42,228 INFO  [5209a31d1088dd72] [ZY2111 /01 SDU | human  | RampFinalAction                     | Ramp Final                     | default task-163]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 1 AIRCRAFT_CONFIG 1 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 BAG_LOZY_ITEMS_GEN 1 REGISTRATION 1 REGISTRATION_CHANGE 1
375243867,2024-05-01 18:06:39,ZY,2111.0,1.0,SDU,human,RampFinalAction,"2024-05-01 18:06:39,969 INFO  [981e762d818244eb] [ZY2111 /01 SDU | human  | RampFinalAction                     | Ramp Final                     | default task-163]  Sent:","Discrepancy check result
Discrepancy happend: true
Discrepancies
 Type                      Destination               Bag pieces                Bag weight               
LOZYTABLE                  VCP                       105                       840.00  KG                
CKI                        VCP                       0                         0.00    KG                
SUM                        VCP                       105                       840.00  KG"
375243868,2024-05-01 18:06:39,ZY,2111.0,1.0,SDU,human,RampFinalAction,"2024-05-01 18:06:39,971 INFO  [981e762d818244eb] [ZY2111 /01 SDU | human  | RampFinalAction                     | Ramp Final                     | default task-163]  Saved:",STATUS LOZYING_INSTRUCTION 1 FUEL 1 AIRCRAFT_CONFIG 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 BAG_LOZY_ITEMS_GEN 1 REGISTRATION 1 REGISTRATION_CHANGE 1
