cki_destination,cki_bag_pieces,cki_bag_weight,loadtable_destination,loadtable_bag_pieces,loadtable_bag_weight,combined,timestamp
,,,,,,2024-05_MN_1680.0_30.0,2024-04-30 04:46:19
,,,,,,2024-05_MN_1680.0_30.0,2024-04-30 04:46:17
,,,,,,2024-05_MN_1680.0_30.0,2024-04-30 04:46:17
,,,,,,2024-05_MN_1680.0_30.0,2024-04-30 04:46:19
,,,,,,2024-05_MN_1602.0_30.0,2024-04-30 04:54:12
,,,,,,2024-05_MN_1602.0_30.0,2024-04-30 04:54:12
,,,,,,2024-05_MN_1602.0_30.0,2024-04-30 04:54:10
,,,,,,2024-05_MN_1602.0_30.0,2024-04-30 04:54:10
,,,,,,2024-05_MN_1602.0_30.0,2024-04-30 04:54:10
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 04:56:36
FCO,79.0,1027.00 KG,,,,2024-05_MN_1402.0_30.0,2024-04-30 04:56:36
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 04:56:36
,,,,,,2024-05_MN_1450.0_30.0,2024-04-30 04:57:09
,,,,,,2024-05_MN_1450.0_30.0,2024-04-30 04:57:09
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 04:56:57
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 04:56:57
,,,,,,2024-05_MN_1450.0_30.0,2024-04-30 04:57:06
NAP,125.0,1625.00 KG,NAP,123.0,1599.00 KG,2024-05_MN_1450.0_30.0,2024-04-30 04:57:06
,,,,,,2024-05_MN_1450.0_30.0,2024-04-30 04:57:06
,,,,,,2024-05_MN_1592.0_30.0,2024-04-30 04:58:31
,,,,,,2024-05_MN_1592.0_30.0,2024-04-30 04:58:31
,,,,,,2024-05_MN_1592.0_30.0,2024-04-30 04:58:29
MAD,77.0,1001.00 KG,MAD,79.0,1027.00 KG,2024-05_MN_1592.0_30.0,2024-04-30 04:58:29
,,,,,,2024-05_MN_1592.0_30.0,2024-04-30 04:58:29
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:07:33
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:07:33
,,,,,,2024-05_MN_1152.0_30.0,2024-04-30 05:08:00
LHR,88.0,1144.00 KG,LHR,86.0,1118.00 KG,2024-05_MN_1152.0_30.0,2024-04-30 05:08:00
,,,,,,2024-05_MN_1152.0_30.0,2024-04-30 05:08:00
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:10:57
FCO,79.0,1027.00 KG,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:10:57
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:10:57
,,,,,,2024-05_MN_1152.0_30.0,2024-04-30 05:08:03
,,,,,,2024-05_MN_1152.0_30.0,2024-04-30 05:08:03
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:10:20
,,,,,,2024-05_MN_1202.0_30.0,2024-04-30 05:13:13
,,,,,,2024-05_MN_1202.0_30.0,2024-04-30 05:13:13
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:10:18
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:10:18
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:10:18
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:10:20
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:11:00
,,,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:11:00
,,,,,,2024-05_MN_1202.0_30.0,2024-04-30 05:13:11
,,,,,,2024-05_MN_1202.0_30.0,2024-04-30 05:13:11
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:23
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:23
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:23
,,,,,,2024-05_MN_1262.0_30.0,2024-04-30 05:14:41
,,,,,,2024-05_MN_1262.0_30.0,2024-04-30 05:14:41
,,,,,,2024-05_MN_1262.0_30.0,2024-04-30 05:14:39
,,,,,,2024-05_MN_1262.0_30.0,2024-04-30 05:14:39
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:14
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:14
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:26
,,,,,,2024-05_MN_1332.0_30.0,2024-04-30 05:15:26
,,,,,,2024-05_MN_4250.0_30.0,2024-04-30 05:18:45
,,,,,,2024-05_MN_4250.0_30.0,2024-04-30 05:18:45
,,,,,,2024-05_MN_4250.0_30.0,2024-04-30 05:19:32
,,,,,,2024-05_MN_4250.0_30.0,2024-04-30 05:19:32
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:21:44
BCN,137.0,1781.00 KG,BCN,136.0,1768.00 KG,2024-05_MN_1562.0_30.0,2024-04-30 05:21:44
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:21:44
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:21:46
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:21:46
,,,,,,2024-05_MN_1520.0_30.0,2024-04-30 05:23:30
,,,,,,2024-05_MN_1520.0_30.0,2024-04-30 05:23:30
,,,,,,2024-05_MN_1520.0_30.0,2024-04-30 05:23:36
,,,,,,2024-05_MN_1520.0_30.0,2024-04-30 05:23:36
,,,,,,2024-05_MN_1520.0_30.0,2024-04-30 05:23:30
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:26:53
DUS,92.0,1196.00 KG,DUS,89.0,1157.00 KG,2024-05_MN_1692.0_30.0,2024-04-30 05:26:53
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:26:53
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:27:06
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:27:06
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:28:55
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:28:55
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:28:55
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:28:55
,,,,,,2024-05_MN_1342.0_30.0,2024-04-30 05:34:12
,,,,,,2024-05_MN_1342.0_30.0,2024-04-30 05:34:12
,,,,,,2024-05_MN_1342.0_30.0,2024-04-30 05:34:15
,,,,,,2024-05_MN_1342.0_30.0,2024-04-30 05:34:15
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:28:42
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:28:42
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:28:52
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:28:52
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:28:41
,,,,,,2024-05_MN_1562.0_30.0,2024-04-30 05:28:41
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:28:58
,,,,,,2024-05_MN_1692.0_30.0,2024-04-30 05:28:58
