cki_destination,cki_bag_pieces,cki_bag_weight,loadtable_destination,loadtable_bag_pieces,loadtable_bag_weight,combined,timestamp
FCO,79.0,1027.00 KG,,,,2024-05_MN_1402.0_30.0,2024-04-30 04:56:36
NAP,125.0,1625.00 KG,NAP,123.0,1599.00 KG,2024-05_MN_1450.0_30.0,2024-04-30 04:57:06
MAD,77.0,1001.00 KG,MAD,79.0,1027.00 KG,2024-05_MN_1592.0_30.0,2024-04-30 04:58:29
LHR,88.0,1144.00 KG,LHR,86.0,1118.00 KG,2024-05_MN_1152.0_30.0,2024-04-30 05:08:00
FCO,79.0,1027.00 KG,,,,2024-05_MN_1402.0_30.0,2024-04-30 05:10:57
BCN,137.0,1781.00 KG,BCN,136.0,1768.00 KG,2024-05_MN_1562.0_30.0,2024-04-30 05:21:44
DUS,92.0,1196.00 KG,DUS,89.0,1157.00 KG,2024-05_MN_1692.0_30.0,2024-04-30 05:26:53
TLS,78.0,1014.00 KG,TLS,77.0,1001.00 KG,2024-05_MN_1532.0_30.0,2024-04-30 05:38:51
FRA,108.0,1404.00 KG,FRA,100.0,1300.00 KG,2024-05_MN_1650.0_30.0,2024-04-30 05:45:52
LIN,112.0,1456.00 KG,LIN,111.0,1443.00 KG,2024-05_MN_1432.0_30.0,2024-04-30 05:45:48
DBV,146.0,1898.00 KG,DBV,145.0,1885.00 KG,2024-05_MN_1476.0_30.0,2024-04-30 06:00:43
VCE,133.0,1729.00 KG,VCE,128.0,1664.00 KG,2024-05_MN_1422.0_30.0,2024-04-30 06:03:21
VCE,131.0,1703.00 KG,VCE,129.0,1677.00 KG,2024-05_MN_1422.0_30.0,2024-04-30 06:04:25
FAO,111.0,1443.00 KG,FAO,112.0,1456.00 KG,2024-05_MN_1492.0_30.0,2024-04-30 06:08:57
AGP,280.0,3640.00 KG,AGP,277.0,3601.00 KG,2024-05_MN_1580.0_30.0,2024-04-30 06:08:39
BUD,104.0,1352.00 KG,BUD,100.0,1300.00 KG,2024-05_MN_1672.0_30.0,2024-04-30 06:15:03
BUD,104.0,1352.00 KG,BUD,101.0,1313.00 KG,2024-05_MN_1672.0_30.0,2024-04-30 06:31:22
CDG,87.0,1131.00 KG,CDG,86.0,1118.00 KG,2024-05_MN_1522.0_30.0,2024-04-30 06:37:21
CDG,117.0,1521.00 KG,CDG,120.0,1560.00 KG,2024-05_MN_1524.0_30.0,2024-04-30 08:42:57
HAM,92.0,1196.00 KG,HAM,93.0,1209.00 KG,2024-05_MN_1392.0_30.0,2024-04-30 09:05:09
NCE,99.0,1287.00 KG,NCE,90.0,1170.00 KG,2024-05_MN_1544.0_30.0,2024-04-30 09:48:58
NCE,99.0,1287.00 KG,NCE,90.0,1170.00 KG,2024-05_MN_1544.0_30.0,2024-04-30 09:54:02
AGP,179.0,2327.00 KG,AGP,177.0,2301.00 KG,2024-05_MN_1584.0_30.0,2024-04-30 10:26:13
AGP,179.0,2327.00 KG,AGP,178.0,2314.00 KG,2024-05_MN_1584.0_30.0,2024-04-30 10:28:00
ORD,200.0,3000.00 KG,ORD,202.0,3030.00 KG,2024-05_MN_1123.0_30.0,2024-04-30 10:32:26
AGP,179.0,2327.00 KG,AGP,182.0,2366.00 KG,2024-05_MN_1584.0_30.0,2024-04-30 10:35:21
BIO,132.0,1716.00 KG,BIO,131.0,1703.00 KG,2024-05_MN_1748.0_30.0,2024-04-30 10:49:19
IAD,136.0,2040.00 KG,IAD,140.0,2100.00 KG,2024-05_MN_1117.0_30.0,2024-04-30 11:45:13
SFO,184.0,2760.00 KG,SFO,179.0,2685.00 KG,2024-05_MN_1061.0_30.0,2024-04-30 11:36:11
IAD,136.0,2040.00 KG,IAD,133.0,1995.00 KG,2024-05_MN_1117.0_30.0,2024-04-30 11:37:17
CDG,120.0,1560.00 KG,CDG,108.0,1404.00 KG,2024-05_MN_1526.0_30.0,2024-04-30 11:38:07
IAD,136.0,2040.00 KG,IAD,134.0,2010.00 KG,2024-05_MN_1117.0_30.0,2024-04-30 11:46:29
YYZ,206.0,3090.00 KG,YYZ,202.0,3030.00 KG,2024-05_MN_1127.0_30.0,2024-04-30 12:11:33
EWR,134.0,2010.00 KG,EWR,146.0,2190.00 KG,2024-05_MN_1101.0_30.0,2024-04-30 12:07:43
YYZ,206.0,3090.00 KG,YYZ,207.0,3105.00 KG,2024-05_MN_1127.0_30.0,2024-04-30 12:16:03
MCO,222.0,3330.00 KG,MCO,221.0,3315.00 KG,2024-05_MN_1121.0_30.0,2024-04-30 12:41:23
BDL,124.0,1860.00 KG,BDL,123.0,1845.00 KG,2024-05_MN_1131.0_30.0,2024-04-30 12:46:58
ACE,171.0,2223.00 KG,ACE,167.0,2171.00 KG,2024-05_MN_1778.0_30.0,2024-04-30 13:20:04
VRN,109.0,1417.00 KG,VRN,104.0,1352.00 KG,2024-05_MN_1412.0_30.0,2024-04-30 13:20:00
VRN,109.0,1417.00 KG,VRN,106.0,1378.00 KG,2024-05_MN_1412.0_30.0,2024-04-30 13:29:00
TFS,164.0,2132.00 KG,TFS,160.0,2080.00 KG,2024-05_MN_1764.0_30.0,2024-04-30 13:28:37
TFS,164.0,2132.00 KG,TFS,162.0,2106.00 KG,2024-05_MN_1764.0_30.0,2024-04-30 13:40:43
PMI,141.0,1833.00 KG,PMI,137.0,1781.00 KG,2024-05_MN_1736.0_30.0,2024-04-30 14:38:13
FCO,115.0,1495.00 KG,FCO,113.0,1469.00 KG,2024-05_MN_1406.0_30.0,2024-04-30 14:36:31
LAX,182.0,2730.00 KG,LAX,181.0,2715.00 KG,2024-05_MN_1069.0_30.0,2024-04-30 14:36:20
FCO,115.0,1495.00 KG,FCO,113.0,1469.00 KG,2024-05_MN_1406.0_30.0,2024-04-30 14:45:12
PMI,141.0,1833.00 KG,PMI,140.0,1820.00 KG,2024-05_MN_1736.0_30.0,2024-04-30 14:53:51
PMI,141.0,1833.00 KG,PMI,140.0,1820.00 KG,2024-05_MN_1736.0_30.0,2024-04-30 14:53:45
PMI,141.0,1833.00 KG,PMI,143.0,1859.00 KG,2024-05_MN_1736.0_30.0,2024-04-30 14:58:37
PMI,138.0,1794.00 KG,PMI,145.0,1885.00 KG,2024-05_MN_1736.0_30.0,2024-04-30 15:02:11
FRA,92.0,1196.00 KG,FRA,85.0,1105.00 KG,2024-05_MN_1656.0_30.0,2024-04-30 15:09:44
IAD,141.0,2115.00 KG,IAD,140.0,2100.00 KG,2024-05_MN_1119.0_30.0,2024-04-30 15:11:32
AGP,142.0,1846.00 KG,AGP,141.0,1833.00 KG,2024-05_MN_1586.0_30.0,2024-04-30 15:10:54
ORD,174.0,2610.00 KG,ORD,171.0,2565.00 KG,2024-05_MN_1125.0_30.0,2024-04-30 15:22:09
PHL,101.0,1515.00 KG,PHL,104.0,1560.00 KG,2024-05_MN_1115.0_30.0,2024-04-30 15:28:19
