id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
33767640,2024-04-30 04:04:17,AB,2519.0,30.0,COK,human,UpdateEstimatesAction,"2024-04-30 04:04:17,021 INFO  [4156a3c5a78e995a] [AB2519 /30 COK | human      | UpdateEstimatesAction               |                                | default task-22]  Received:","com.onesystem.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 543038  flightId = 517633 legId = 543038  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 160                       Pax Weight          : 11850.0    KG 
 Bag                 : 120                       Bag Weight          : 1800.0     KG 
 Cargo                                                               : 700.0      KG 
 Mail                                                                : 66.0       KG 
 Tare                : 0                                             : 0.0        KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 14416.0    KG 
 DOW                                                                 : 44584.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 59000.0    KG
 Remark              :"
33767645,2024-04-30 04:04:17,AB,2519.0,30.0,COK,human,UpdateEstimatesAction,"2024-04-30 04:04:17,023 INFO  [4156a3c5a78e995a] [AB2519 /30 COK | human      | UpdateEstimatesAction               |                                | default task-22]  Saved:","Pax Weight = 11850.0 KG Bag Weight = 1920.0 KG Cargo = 56.1 KG Mail = 0.0 KG DOW = 44584.0 KG ZFW = 56434.0 KG
STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 2"
33767623,2024-04-30 04:04:58,AB,2627.0,30.0,GOX,human,UpdateEstimatesAction,"2024-04-30 04:04:58,954 INFO  [fd01af5585fd5e1a] [AB2627 /30 GOX | human      | UpdateEstimatesAction               |                                | default task-57]  Received:","com.onesystem.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 543055  flightId = 517648 legId = 543055  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 189                       Pax Weight          : 13295.0    KG 
 Bag                 : 120                       Bag Weight          : 1800.0     KG 
 Cargo                                                               : 2000.0     KG 
 Mail                                                                : 74.0       KG 
 Tare                : 0                                             : 0.0        KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 17169.0    KG 
 DOW                                                                 : 44831.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 62000.0    KG
 Remark              :"
33767628,2024-04-30 04:04:58,AB,2627.0,30.0,GOX,human,UpdateEstimatesAction,"2024-04-30 04:04:58,955 INFO  [fd01af5585fd5e1a] [AB2627 /30 GOX | human      | UpdateEstimatesAction               |                                | default task-57]  Saved:","Pax Weight = 13295.0 KG Bag Weight = 2820.0 KG Cargo = 0.0 KG Mail = 0.0 KG DOW = 44831.0 KG ZFW = 58126.0 KG
STATUS AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 3"
33767575,2024-04-30 04:05:53,AB,2498.0,30.0,BOM,human,UpdateEstimatesAction,"2024-04-30 04:05:53,896 INFO  [c5d021fdea18fd73] [AB2498 /30 BOM | human      | UpdateEstimatesAction               |                                | default task-53]  Received:","com.onesystem.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 543106  flightId = 517700 legId = 543106  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 189                       Pax Weight          : 13605.0    KG 
 Bag                 : 120                       Bag Weight          : 1800.0     KG 
 Cargo                                                               : 1500.0     KG 
 Mail                                                                : 57.0       KG 
 Tare                : 0                                             : 0.0        KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 16962.0    KG 
 DOW                                                                 : 45438.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 62400.0    KG
 Remark              :"
33767720,2024-04-30 04:05:53,AB,2498.0,30.0,BOM,human,UpdateEstimatesAction,"2024-04-30 04:05:53,898 INFO  [c5d021fdea18fd73] [AB2498 /30 BOM | human      | UpdateEstimatesAction               |                                | default task-53]  Saved:","Pax Weight = 13605.0 KG Bag Weight = 2235.0 KG Cargo = 1302.0 KG Mail = 0.0 KG DOW = 45438.0 KG ZFW = 59043.0 KG
STATUS AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 5"
33767747,2024-04-30 04:06:31,AB,2380.0,30.0,BOM,human,UpdateEstimatesAction,"2024-04-30 04:06:31,809 INFO  [1f0b85530b87c1cc] [AB2380 /30 BOM | human      | UpdateEstimatesAction               |                                | default task-30]  Received:","com.onesystem.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 542907  flightId = 517502 legId = 542907  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 184                       Pax Weight          : 13440.0    KG 
 Bag                 : 120                       Bag Weight          : 1800.0     KG 
 Cargo                                                               : 200.0      KG 
 Mail                                                                : 44.0       KG 
 Tare                : 0                                             : 0.0        KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 15484.0    KG 
 DOW                                                                 : 45516.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 61000.0    KG
 Remark              :"
33767752,2024-04-30 04:06:31,AB,2380.0,30.0,BOM,human,UpdateEstimatesAction,"2024-04-30 04:06:31,811 INFO  [1f0b85530b87c1cc] [AB2380 /30 BOM | human      | UpdateEstimatesAction               |                                | default task-30]  Saved:","Pax Weight = 13440.0 KG Bag Weight = 2220.0 KG Cargo = 0.0 KG Mail = 0.0 KG DOW = 45516.0 KG ZFW = 58956.0 KG
STATUS AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 3"
33767723,2024-04-30 04:07:22,AB,2377.0,30.0,BLR,human,UpdateEstimatesAction,"2024-04-30 04:07:22,634 INFO  [e60349d306028096] [AB2377 /30 BLR | human      | UpdateEstimatesAction               |                                | default task-33]  Received:","com.onesystem.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 543211  flightId = 517524 legId = 543211  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 175                       Pax Weight          : 12785.0    KG 
 Bag                 : 120                       Bag Weight          : 1800.0     KG 
 Cargo                                                               : 1800.0     KG 
 Mail                                                                : 5.0        KG 
 Tare                : 0                                             : 0.0        KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 16390.0    KG 
 DOW                                                                 : 44710.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 61100.0    KG
 Remark              :"
33767728,2024-04-30 04:07:22,AB,2377.0,30.0,BLR,human,UpdateEstimatesAction,"2024-04-30 04:07:22,636 INFO  [e60349d306028096] [AB2377 /30 BLR | human      | UpdateEstimatesAction               |                                | default task-33]  Saved:","Pax Weight = 12785.0 KG Bag Weight = 2055.0 KG Cargo = 688.3333333333334 KG Mail = 0.0 KG DOW = 44710.0 KG ZFW = 57495.0 KG
STATUS AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1"
