id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
138100281,2024-05-03 17:02:13,MN,1126.0,3.0,YYZ,human,UpdateEstimatesAction,"2024-05-03 17:02:13,354 INFO  [6cd5c02f2d788bef] [MN1126  /03 YYZ | human      | UpdateEstimatesAction               |                                | default task-2496]  Received:","com.systemone.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 688620  flightId = 668809 legId = 688620  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 281                       Pax Weight          : 21486.0    KG 
 Bag                 : 265                       Bag Weight          : 3975.0     KG 
 Cargo                                                               : 607.0      KG 
 Mail                                                                : 0.0        KG 
 Tare                : 8                                             : 576.0      KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 26644.0    KG 
 DOW                                                                 : 128823.0   KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 155467.0   KG
 Remark              :"
138100675,2024-05-03 16:54:13,MN,1122.0,3.0,ORD,human,UpdateEstimatesAction,"2024-05-03 16:54:13,373 INFO  [d7918177276d8af] [MN1122  /03 ORD | human      | UpdateEstimatesAction               |                                | default task-3741]  Received:","com.systemone.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 688542  flightId = 668731 legId = 688542  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 313                       Pax Weight          : 24880.0    KG 
 Bag                 : 259                       Bag Weight          : 3885.0     KG 
 Cargo                                                               : 7500.0     KG 
 Mail                                                                : 0.0        KG 
 Tare                : 8                                             : 576.0      KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 36841.0    KG 
 DOW                                                                 : 128360.0   KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 165201.0   KG
 Remark              :"
138100680,2024-05-03 16:54:13,MN,1122.0,3.0,ORD,human,UpdateEstimatesAction,"2024-05-03 16:54:13,380 INFO  [d7918177276d8af] [MN1122  /03 ORD | human      | UpdateEstimatesAction               |                                | default task-3741]  Saved:","Pax Weight = 24880.0 KG Bag Weight = 3885.0 KG Cargo = 7500.0 KG Mail = 0.0 KG DOW = 128360.0 KG ZFW = 153315.0 KG
STATUS AIRCRAFT_CONFIG 1 EZFW 3 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 3 REGISTRATION 1 REGISTRATION_CHANGE 1"
138101030,2024-05-03 16:55:07,MN,1100.0,3.0,EWR,human,UpdateEstimatesAction,"2024-05-03 16:55:07,361 INFO  [4c4683dbdc950611] [MN1100  /03 EWR | human      | UpdateEstimatesAction               |                                | default task-2496]  Received:","com.systemone.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 688619  flightId = 668808 legId = 688619  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 148                       Pax Weight          : 11676.0    KG 
 Bag                 : 136                       Bag Weight          : 2040.0     KG 
 Cargo                                                               : 65.0       KG 
 Mail                                                                : 0.0        KG 
 Tare                : 6                                             : 528.0      KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 14309.0    KG 
 DOW                                                                 : 53999.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 68308.0    KG
 Remark              :"
138101035,2024-05-03 16:55:07,MN,1100.0,3.0,EWR,human,UpdateEstimatesAction,"2024-05-03 16:55:07,363 INFO  [4c4683dbdc950611] [MN1100  /03 EWR | human      | UpdateEstimatesAction               |                                | default task-2496]  Saved:","Pax Weight = 11676.0 KG Bag Weight = 2040.0 KG Cargo = 65.0 KG Mail = 0.0 KG DOW = 53999.0 KG ZFW = 65740.0 KG
STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 OFP 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 3 FUEL_ORDER 1"
138101065,2024-05-03 16:54:49,MN,1116.0,3.0,IAD,human,UpdateEstimatesAction,"2024-05-03 16:54:49,249 INFO  [526673c6fb6f5d36] [MN1116  /03 IAD | human      | UpdateEstimatesAction               |                                | default task-3741]  Received:","com.systemone.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 688508  flightId = 668697 legId = 688508  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 184                       Pax Weight          : 14377.0    KG 
 Bag                 : 172                       Bag Weight          : 2580.0     KG 
 Cargo                                                               : 65.0       KG 
 Mail                                                                : 0.0        KG 
 Tare                : 6                                             : 528.0      KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 17550.0    KG 
 DOW                                                                 : 54026.0    KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 71576.0    KG
 Remark              :"
138101070,2024-05-03 16:54:49,MN,1116.0,3.0,IAD,human,UpdateEstimatesAction,"2024-05-03 16:54:49,257 INFO  [526673c6fb6f5d36] [MN1116  /03 IAD | human      | UpdateEstimatesAction               |                                | default task-3741]  Saved:","Pax Weight = 14377.0 KG Bag Weight = 2580.0 KG Cargo = 65.0 KG Mail = 0.0 KG DOW = 54026.0 KG ZFW = 68468.0 KG
STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 3 CARGO_TRANSFER 1 OFP 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 3 REGISTRATION 1 REGISTRATION_CHANGE 2 FUEL_ORDER 1"
138101646,2024-05-03 17:02:13,MN,1126.0,3.0,YYZ,human,UpdateEstimatesAction,"2024-05-03 17:02:13,356 INFO  [6cd5c02f2d788bef] [MN1126  /03 YYZ | human      | UpdateEstimatesAction               |                                | default task-2496]  Saved:","Pax Weight = 21486.0 KG Bag Weight = 3975.0 KG Cargo = 607.0 KG Mail = 0.0 KG DOW = 128823.0 KG ZFW = 150384.0 KG
STATUS AIRCRAFT_CONFIG 1 EZFW 2 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1"
138101785,2024-05-03 17:04:38,MN,1104.0,3.0,JFK,human,UpdateEstimatesAction,"2024-05-03 17:04:38,396 INFO  [d636ad540edf88f8] [MN1104  /03 JFK | human      | UpdateEstimatesAction               |                                | default task-3739]  Received:","com.systemone.lc2.estimateshandling.dto.EstimateWeightsDTO [ id = 688840  flightId = 669029 legId = 688840  deleted = false  fragmentId = EstimatesFragment ]

 Pax                 : 207                       Pax Weight          : 16113.0    KG 
 Bag                 : 200                       Bag Weight          : 3000.0     KG 
 Cargo                                                               : 7500.0     KG 
 Mail                                                                : 0.0        KG 
 Tare                : 5                                             : 360.0      KG 
------------------------------------------------------------------------------------------------------------------------
 Traffic Load                                                        : 26973.0    KG 
 DOW                                                                 : 127585.0   KG 
------------------------------------------------------------------------------------------------------------------------
 EZFW                                                                : 154558.0   KG
 Remark              :"
138101790,2024-05-03 17:04:38,MN,1104.0,3.0,JFK,human,UpdateEstimatesAction,"2024-05-03 17:04:38,404 INFO  [d636ad540edf88f8] [MN1104  /03 JFK | human      | UpdateEstimatesAction               |                                | default task-3739]  Saved:","Pax Weight = 16113.0 KG Bag Weight = 3000.0 KG Cargo = 7500.0 KG Mail = 0.0 KG DOW = 127585.0 KG ZFW = 143773.0 KG
STATUS FUEL 4 AIRCRAFT_CONFIG 1 EZFW 3 CARGO_TRANSFER 1 OFP 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 3 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 1"
