cargo_weight,mail_weight,timestamp,combined
260.0,0.0,2024-05-07 01:03:47,2024-05_MN_1068.0_7.0
192.0,0.0,2024-05-06 21:52:52,2024-05_MN_1106.0_7.0
2100.0,0.0,2024-05-06 20:11:51,2024-05_MN_1124.0_7.0
75.0,0.0,2024-05-06 20:11:22,2024-05_MN_1136.0_7.0
150.0,0.0,2024-05-06 20:10:48,2024-05_MN_1060.0_7.0
75.0,0.0,2024-05-06 20:10:04,2024-05_MN_1088.0_6.0
645.0,0.0,2024-05-06 19:23:57,2024-05_MN_1044.0_6.0
75.0,0.0,2024-05-06 18:40:21,2024-05_MN_1104.0_6.0
75.0,0.0,2024-05-06 18:00:44,2024-05_MN_1034.0_6.0
638.0,0.0,2024-05-06 18:00:15,2024-05_MN_1132.0_6.0
75.0,0.0,2024-05-06 17:59:26,2024-05_MN_1126.0_6.0
65.0,0.0,2024-05-06 16:29:44,2024-05_MN_1114.0_7.0
65.0,0.0,2024-05-06 16:28:14,2024-05_MN_1118.0_7.0
65.0,0.0,2024-05-06 16:26:31,2024-05_MN_1086.0_7.0
65.0,0.0,2024-05-06 16:21:16,2024-05_MN_1134.0_6.0
65.0,0.0,2024-05-06 16:17:43,2024-05_MN_1110.0_6.0
65.0,0.0,2024-05-06 16:16:00,2024-05_MN_1130.0_6.0
65.0,0.0,2024-05-06 16:10:18,2024-05_MN_1100.0_6.0
65.0,0.0,2024-05-06 16:08:47,2024-05_MN_1116.0_6.0
400.0,0.0,2024-05-06 16:05:29,2024-05_MN_1122.0_6.0
2701.0,0.0,2024-05-06 00:19:58,2024-05_MN_1068.0_6.0
2111.0,0.0,2024-05-05 22:07:46,2024-05_MN_1052.0_6.0
75.0,0.0,2024-05-05 21:28:46,2024-05_MN_1124.0_6.0
75.0,0.0,2024-05-05 21:05:25,2024-05_MN_1136.0_6.0
75.0,0.0,2024-05-05 21:04:16,2024-05_MN_1060.0_6.0
500.0,0.0,2024-05-05 21:03:40,2024-05_MN_1106.0_6.0
65.0,0.0,2024-05-05 19:52:36,2024-05_MN_1114.0_6.0
65.0,0.0,2024-05-05 19:51:51,2024-05_MN_1118.0_6.0
65.0,0.0,2024-05-05 19:51:23,2024-05_MN_1086.0_6.0
1544.0,0.0,2024-05-05 19:50:32,2024-05_MN_1120.0_6.0
7251.0,0.0,2024-05-05 18:34:57,2024-05_MN_1122.0_5.0
1800.0,0.0,2024-05-05 18:03:13,2024-05_MN_1044.0_5.0
153.0,0.0,2024-05-05 18:02:48,2024-05_MN_1134.0_5.0
241.0,0.0,2024-05-05 18:02:23,2024-05_MN_1110.0_5.0
75.0,0.0,2024-05-05 18:01:58,2024-05_MN_1030.0_5.0
65.0,0.0,2024-05-05 18:01:30,2024-05_MN_1130.0_5.0
2079.0,0.0,2024-05-05 18:01:01,2024-05_MN_1132.0_5.0
75.0,0.0,2024-05-05 18:00:28,2024-05_MN_1126.0_5.0
65.0,0.0,2024-05-05 17:18:47,2024-05_MN_1100.0_5.0
65.0,0.0,2024-05-05 17:18:20,2024-05_MN_1116.0_5.0
500.0,0.0,2024-05-05 17:16:55,2024-05_MN_1104.0_5.0
5400.0,0.0,2024-05-04 20:53:04,2024-05_MN_1068.0_5.0
6950.0,0.0,2024-05-04 20:52:34,2024-05_MN_1124.0_5.0
75.0,0.0,2024-05-04 20:52:05,2024-05_MN_1136.0_5.0
1000.0,0.0,2024-05-04 20:51:37,2024-05_MN_1106.0_5.0
1300.0,0.0,2024-05-04 20:51:12,2024-05_MN_1060.0_5.0
65.0,0.0,2024-05-04 20:50:43,2024-05_MN_1114.0_5.0
65.0,0.0,2024-05-04 20:50:15,2024-05_MN_1118.0_5.0
3437.0,0.0,2024-05-04 20:28:02,2024-05_MN_1120.0_5.0
75.0,0.0,2024-05-04 20:21:48,2024-05_MN_1088.0_4.0
8753.0,0.0,2024-05-04 18:34:26,2024-05_MN_1126.0_4.0
1000.0,0.0,2024-05-04 18:14:22,2024-05_MN_1044.0_4.0
65.0,0.0,2024-05-04 18:13:54,2024-05_MN_1134.0_4.0
241.0,0.0,2024-05-04 18:13:21,2024-05_MN_1110.0_4.0
65.0,0.0,2024-05-04 18:12:44,2024-05_MN_1130.0_4.0
5939.0,0.0,2024-05-04 18:12:00,2024-05_MN_1034.0_4.0
75.0,0.0,2024-05-04 18:11:27,2024-05_MN_1132.0_4.0
65.0,0.0,2024-05-04 17:27:00,2024-05_MN_1100.0_4.0
