cargo_weight,mail_weight,timestamp,combined
100.0,118.0,2024-05-07 09:04:48,2024-05_AB_2143.0_7.0
200.0,224.0,2024-05-07 09:02:37,2024-05_AB_2324.0_7.0
1500.0,151.0,2024-05-07 08:59:58,2024-05_AB_2564.0_7.0
500.0,56.0,2024-05-07 07:57:32,2024-05_AB_2562.0_7.0
2500.0,269.0,2024-05-07 07:49:35,2024-05_AB_2628.0_7.0
1000.0,91.0,2024-05-07 07:27:43,2024-05_AB_2563.0_7.0
300.0,22.0,2024-05-07 06:41:20,2024-05_AB_2431.0_7.0
2000.0,28.0,2024-05-07 06:39:42,2024-05_AB_2451.0_7.0
300.0,101.0,2024-05-07 05:49:36,2024-05_AB_8119.0_7.0
1500.0,19.0,2024-05-07 05:41:53,2024-05_AB_2108.0_7.0
500.0,2.0,2024-05-07 05:40:56,2024-05_AB_2497.0_7.0
0.0,53.0,2024-05-07 05:40:04,2024-05_AB_2142.0_7.0
1200.0,75.0,2024-05-07 05:39:29,2024-05_AB_2364.0_7.0
500.0,92.0,2024-05-07 05:38:44,2024-05_AB_2386.0_7.0
2000.0,27.0,2024-05-07 05:22:18,2024-05_AB_2128.0_7.0
300.0,4.0,2024-05-07 05:19:56,2024-05_AB_2384.0_7.0
2000.0,54.0,2024-05-07 05:18:54,2024-05_AB_2608.0_7.0
300.0,95.0,2024-05-07 05:18:05,2024-05_AB_2465.0_7.0
1500.0,45.0,2024-05-07 05:14:51,2024-05_AB_2110.0_7.0
1500.0,76.0,2024-05-07 05:13:31,2024-05_AB_2377.0_7.0
1200.0,53.0,2024-05-07 05:12:35,2024-05_AB_2173.0_7.0
500.0,54.0,2024-05-07 05:10:55,2024-05_AB_2486.0_7.0
1800.0,247.0,2024-05-07 04:51:14,2024-05_AB_2379.0_7.0
1504.0,0.0,2024-05-07 04:39:30,2024-05_AB_2323.0_7.0
984.0,0.0,2024-05-07 04:38:58,2024-05_AB_2613.0_7.0
568.0,0.0,2024-05-07 04:38:34,2024-05_AB_2851.0_7.0
3000.0,94.0,2024-05-07 04:35:29,2024-05_AB_2503.0_7.0
100.0,104.0,2024-05-07 04:33:33,2024-05_AB_2148.0_7.0
304.0,0.0,2024-05-07 04:30:24,2024-05_AB_2147.0_7.0
1500.0,32.0,2024-05-07 04:28:10,2024-05_AB_2498.0_7.0
621.0,69.0,2024-05-07 03:46:41,2024-05_AB_2627.0_7.0
473.0,76.0,2024-05-07 03:33:36,2024-05_AB_2534.0_7.0
200.0,15.0,2024-05-07 03:32:17,2024-05_AB_2394.0_7.0
500.0,38.0,2024-05-07 03:31:36,2024-05_AB_2526.0_7.0
200.0,75.0,2024-05-07 03:30:53,2024-05_AB_2519.0_7.0
800.0,89.0,2024-05-07 03:29:24,2024-05_AB_2572.0_7.0
49.0,0.0,2024-05-07 03:14:52,2024-05_AB_2463.0_7.0
227.0,0.0,2024-05-07 02:58:25,2024-05_AB_2378.0_7.0
500.0,95.0,2024-05-07 02:56:31,2024-05_AB_2625.0_7.0
2000.0,87.0,2024-05-07 02:55:49,2024-05_AB_2406.0_7.0
500.0,53.0,2024-05-07 02:54:39,2024-05_AB_2373.0_7.0
200.0,77.0,2024-05-07 02:37:14,2024-05_AB_2371.0_7.0
4538.0,119.0,2024-05-07 02:35:00,2024-05_AB_2342.0_7.0
100.0,94.0,2024-05-07 02:31:17,2024-05_AB_2607.0_7.0
258.0,0.0,2024-05-07 02:27:56,2024-05_AB_2380.0_7.0
1587.0,0.0,2024-05-07 02:09:55,2024-05_AB_2127.0_7.0
1782.0,6.0,2024-05-07 02:09:24,2024-05_AB_2411.0_7.0
2017.0,0.0,2024-05-07 02:06:03,2024-05_AB_2385.0_7.0
300.0,48.0,2024-05-07 01:33:44,2024-05_AB_2372.0_7.0
2458.0,16.0,2024-05-07 01:13:15,2024-05_AB_2781.0_7.0
1500.0,74.0,2024-05-07 01:11:00,2024-05_AB_2462.0_7.0
2900.0,26.0,2024-05-07 01:07:36,2024-05_AB_2541.0_7.0
1500.0,3.0,2024-05-07 01:04:01,2024-05_AB_2850.0_7.0
2500.0,48.0,2024-05-07 00:57:43,2024-05_AB_2524.0_7.0
2000.0,32.0,2024-05-07 00:53:57,2024-05_AB_2719.0_7.0
574.0,0.0,2024-05-07 00:41:01,2024-05_AB_2533.0_7.0
2504.0,0.0,2024-05-07 00:40:43,2024-05_AB_2102.0_7.0
505.0,0.0,2024-05-06 23:31:41,2024-05_AB_2638.0_7.0
1002.0,0.0,2024-05-06 23:31:15,2024-05_AB_2492.0_7.0
3048.0,0.0,2024-05-06 23:30:58,2024-05_AB_2172.0_7.0
2495.0,0.0,2024-05-06 23:30:41,2024-05_AB_2518.0_7.0
3073.0,0.0,2024-05-06 23:30:22,2024-05_AB_2410.0_7.0
559.0,0.0,2024-05-06 23:29:27,2024-05_AB_2612.0_7.0
1038.0,0.0,2024-05-06 23:29:09,2024-05_AB_2375.0_7.0
552.0,0.0,2024-05-06 23:28:48,2024-05_AB_2421.0_7.0
1014.0,55.0,2024-05-06 22:44:36,2024-05_AB_2485.0_7.0
3000.0,17.0,2024-05-06 20:48:20,2024-05_AB_2405.0_7.0
944.0,33.0,2024-05-06 20:47:15,2024-05_AB_2355.0_7.0
2000.0,44.0,2024-05-06 20:05:44,2024-05_AB_2312.0_7.0
1995.0,0.0,2024-05-06 19:41:15,2024-05_AB_2109.0_7.0
2989.0,0.0,2024-05-06 19:40:19,2024-05_AB_2736.0_7.0
2491.0,0.0,2024-05-06 19:38:44,2024-05_AB_2561.0_7.0
0.0,45.0,2024-05-06 19:36:49,2024-05_AB_2624.0_7.0
3800.0,42.0,2024-05-06 19:35:47,2024-05_AB_2145.0_7.0
2500.0,29.0,2024-05-06 19:34:33,2024-05_AB_2325.0_7.0
1000.0,30.0,2024-05-06 19:31:50,2024-05_AB_2637.0_7.0
800.0,44.0,2024-05-06 19:30:20,2024-05_AB_2505.0_7.0
3000.0,38.0,2024-05-06 19:29:27,2024-05_AB_2340.0_7.0
1998.0,0.0,2024-05-06 19:28:04,2024-05_AB_2372.0_6.0
3000.0,44.0,2024-05-06 19:24:50,2024-05_AB_2311.0_6.0
3000.0,77.0,2024-05-06 19:24:01,2024-05_AB_2359.0_6.0
2000.0,183.0,2024-05-06 14:39:48,2024-05_AB_2838.0_6.0
1200.0,109.0,2024-05-06 14:38:37,2024-05_AB_2367.0_6.0
2503.0,0.0,2024-05-06 14:38:27,2024-05_AB_2107.0_6.0
1500.0,448.0,2024-05-06 14:37:55,2024-05_AB_2439.0_7.0
2146.0,0.0,2024-05-06 14:35:31,2024-05_AB_2318.0_6.0
2559.0,0.0,2024-05-06 14:01:00,2024-05_AB_2332.0_6.0
593.0,0.0,2024-05-06 13:59:07,2024-05_AB_2366.0_6.0
1200.0,172.0,2024-05-06 13:47:03,2024-05_AB_2509.0_6.0
312.0,0.0,2024-05-06 13:17:28,2024-05_AB_2397.0_6.0
1200.0,102.0,2024-05-06 12:30:26,2024-05_AB_2409.0_6.0
3000.0,128.0,2024-05-06 12:25:13,2024-05_AB_2125.0_6.0
300.0,187.0,2024-05-06 12:18:40,2024-05_AB_2551.0_6.0
1000.0,338.0,2024-05-06 12:18:01,2024-05_AB_2350.0_6.0
1000.0,232.0,2024-05-06 12:12:02,2024-05_AB_2146.0_6.0
1000.0,325.0,2024-05-06 12:10:46,2024-05_AB_2643.0_6.0
129.0,0.0,2024-05-06 12:05:41,2024-05_AB_2424.0_6.0
1200.0,218.0,2024-05-06 11:57:29,2024-05_AB_2341.0_6.0
500.0,194.0,2024-05-06 11:46:15,2024-05_AB_2135.0_6.0
3000.0,411.0,2024-05-06 11:45:31,2024-05_AB_2508.0_6.0
48.0,0.0,2024-05-06 10:49:04,2024-05_AB_2358.0_6.0
301.0,0.0,2024-05-06 10:45:50,2024-05_AB_2572.0_6.0
1200.0,144.0,2024-05-06 10:38:34,2024-05_AB_2525.0_6.0
800.0,169.0,2024-05-06 10:06:48,2024-05_AB_2401.0_6.0
3000.0,1.0,2024-05-06 09:58:05,2024-05_AB_2541.0_6.0
200.0,77.0,2024-05-06 09:57:12,2024-05_AB_2349.0_6.0
1800.0,52.0,2024-05-06 09:52:01,2024-05_AB_2120.0_6.0
2800.0,181.0,2024-05-06 09:50:55,2024-05_AB_2334.0_6.0
