cargo_estimate,mail_estimate,timestamp_estimate,combined,cargo_total,mail_total,departure_airport,timestamp_total
100.0,118.0,2024-05-07 09:04:48,2024-05_AB_2143.0_7.0,100.0,0.0,PNQ,2024-05-07 09:04:22
200.0,224.0,2024-05-07 09:02:37,2024-05_AB_2324.0_7.0,0.0,0.0,IXA,2024-05-07 09:14:42
1500.0,151.0,2024-05-07 08:59:58,2024-05_AB_2564.0_7.0,1500.0,0.0,CCU,2024-05-07 08:59:39
500.0,56.0,2024-05-07 07:57:32,2024-05_AB_2562.0_7.0,0.0,0.0,CCU,2024-05-07 09:07:35
2500.0,269.0,2024-05-07 07:49:35,2024-05_AB_2628.0_7.0,2401.0,0.0,BLR,2024-05-07 09:01:15
1000.0,91.0,2024-05-07 07:27:43,2024-05_AB_2563.0_7.0,1000.0,0.0,PNQ,2024-05-07 07:27:37
300.0,22.0,2024-05-07 06:41:20,2024-05_AB_2431.0_7.0,65.0,0.0,HYD,2024-05-07 08:43:26
2000.0,28.0,2024-05-07 06:39:42,2024-05_AB_2451.0_7.0,1101.0,0.0,BOM,2024-05-07 08:30:28
300.0,101.0,2024-05-07 05:49:36,2024-05_AB_8119.0_7.0,0.0,0.0,VNS,2024-05-07 06:48:30
1500.0,19.0,2024-05-07 05:41:53,2024-05_AB_2108.0_7.0,410.0,0.0,AMD,2024-05-07 08:33:57
500.0,2.0,2024-05-07 05:40:56,2024-05_AB_2497.0_7.0,0.0,0.0,VNS,2024-05-07 08:54:52
0.0,53.0,2024-05-07 05:40:04,2024-05_AB_2142.0_7.0,0.0,0.0,GOX,2024-05-07 05:45:37
1200.0,75.0,2024-05-07 05:39:29,2024-05_AB_2364.0_7.0,1315.0,0.0,BLR,2024-05-07 08:54:08
500.0,92.0,2024-05-07 05:38:44,2024-05_AB_2386.0_7.0,335.0,0.0,IXB,2024-05-07 09:09:37
2000.0,27.0,2024-05-07 05:22:18,2024-05_AB_2128.0_7.0,0.0,0.0,DEL,2024-05-05 02:59:27
300.0,4.0,2024-05-07 05:19:56,2024-05_AB_2384.0_7.0,497.0,0.0,BBI,2024-05-07 08:48:40
2000.0,54.0,2024-05-07 05:18:54,2024-05_AB_2608.0_7.0,2254.0,0.0,DEL,2024-05-07 09:06:15
300.0,95.0,2024-05-07 05:18:05,2024-05_AB_2465.0_7.0,0.0,0.0,GOX,2024-05-07 08:58:41
1500.0,45.0,2024-05-07 05:14:51,2024-05_AB_2110.0_7.0,2988.0,0.0,BOM,2024-05-07 09:09:39
1500.0,76.0,2024-05-07 05:13:31,2024-05_AB_2377.0_7.0,1460.0,0.0,BLR,2024-05-07 08:15:21
1200.0,53.0,2024-05-07 05:12:35,2024-05_AB_2173.0_7.0,774.0,0.0,CCU,2024-05-07 08:03:10
500.0,54.0,2024-05-07 05:10:55,2024-05_AB_2486.0_7.0,150.0,0.0,MAA,2024-05-07 07:56:53
