id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
375134361,2024-04-30 10:41:44,ZY,999.0,30.0,GRU,human,UpdateFuelDataAction,"2024-04-30 10:41:44,277 INFO  [87a844a4ed49118] [ZY999 /30 GRU | human  | UpdateFuelDataAction                |                                | default task-127]  Received:","
com.systemone.lc2.fuelhandling.dto.FuelDTO [ id = 0  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = FuelDataFragment ]
 StandardFuel        : Yes                       Non standard fuel   : No                       
 EditionNumber       : 6                         Fueling Indicator   : false                     TruckOnSbyIndicator : false                    
                                           Manual Non Standard Index : NULL                     
 Actual OFP No       : NULL                      Density             : 0.785 KGPERCUBICMETER     Trip Fuel           : 6387.0 KG                
 FZFW                : NULL                      Max Fuel Cap        : 18623.0 KG               
 EZFW sent           : NULL                      Minimum TOF         : NULL                     
 Triggerd by         : MANUAL_INPUT                                                              Take Off Fuel       : 8787.0 KG                
                                                 Taxi Fuel           : 138.0 KG                 

                                                                                                 Planning Fuel       : NULL                     

 Flight Time         : NULL                      Remarks             :"
375134362,2024-04-30 10:41:44,ZY,999.0,30.0,GRU,human,UpdateFuelDataAction,"2024-04-30 10:41:44,279 INFO  [87a844a4ed49118] [ZY999 /30 GRU | human  | UpdateFuelDataAction                |                                | default task-127]  Saved:","FUEL  trip=6387.0 KG taxi=138.0 KG takeoff=8787.0 KG ballast=null edno=7 RO=678.0 KG RI=3784.5 KG LO=678.0 KG LI=3784.5 KG
STATUS FUEL 1 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0"
375134458,2024-04-30 10:52:34,ZY,999.0,30.0,GRU,human,UpdateFuelDataAction,"2024-04-30 10:52:34,068 INFO  [9da18286b467c225] [ZY999 /30 GRU | human  | UpdateFuelDataAction                |                                | default task-127]  Received:","
com.systemone.lc2.fuelhandling.dto.FuelDTO [ id = 0  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = FuelDataFragment ]
 StandardFuel        : Yes                       Non standard fuel   : No                       
 EditionNumber       : 7                         Fueling Indicator   : false                     TruckOnSbyIndicator : false                    
                                           Manual Non Standard Index : NULL                     
 Actual OFP No       : NULL                      Density             : 0.785 KGPERCUBICMETER     Trip Fuel           : 6389.0 KG                
 FZFW                : NULL                      Max Fuel Cap        : 18623.0 KG               
 EZFW sent           : NULL                      Minimum TOF         : NULL                     
 Triggerd by         : MANUAL_INPUT                                                              Take Off Fuel       : 8809.0 KG                
                                                 Taxi Fuel           : 138.0 KG                 

                                                                                                 Planning Fuel       : NULL                     

 Flight Time         : NULL                      Remarks             :"
375134459,2024-04-30 10:52:34,ZY,999.0,30.0,GRU,human,UpdateFuelDataAction,"2024-04-30 10:52:34,070 INFO  [9da18286b467c225] [ZY999 /30 GRU | human  | UpdateFuelDataAction                |                                | default task-127]  Saved:","FUEL  trip=6389.0 KG taxi=138.0 KG takeoff=8809.0 KG ballast=null edno=8 RO=678.0 KG RI=3795.5 KG LO=678.0 KG LI=3795.5 KG
STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0"
375138221,2024-04-30 12:40:18,ZY,4483.0,30.0,BEL,human,UpdateFuelDataAction,"2024-04-30 12:40:18,290 INFO  [9884135954a293ac] [ZY4483 /30 BEL | human | UpdateFuelDataAction                |                                | default task-128]  Received:","
com.systemone.lc2.fuelhandling.dto.FuelDTO [ id = 0  flightId = 2293491 legId = 2404170  deleted = false  fragmentId = FuelDataFragment ]
 StandardFuel        : Yes                       Non standard fuel   : No                       
 EditionNumber       : 1                         Fueling Indicator   : false                     TruckOnSbyIndicator : false                    
                                           Manual Non Standard Index : NULL                     
 Actual OFP No       : NULL                      Density             : 0.811 KGPERCUBICMETER     Trip Fuel           : 10630.0 KG               
 FZFW                : NULL                      Max Fuel Cap        : 16304.0 KG               
 EZFW sent           : NULL                      Minimum TOF         : NULL                     
 Triggerd by         : MANUAL_INPUT                                                              Take Off Fuel       : 14407.0 KG               
                                                 Taxi Fuel           : 121.0 KG                 

                                                                                                 Planning Fuel       : NULL                     

 Flight Time         : NULL                      Remarks             :"
375138222,2024-04-30 12:40:18,ZY,4483.0,30.0,BEL,human,UpdateFuelDataAction,"2024-04-30 12:40:18,292 INFO  [9884135954a293ac] [ZY4483 /30 BEL | human | UpdateFuelDataAction                |                                | default task-128]  Saved:","FUEL  trip=10630.0 KG taxi=121.0 KG takeoff=14407.0 KG ballast=null edno=2 CT=5324.0 KG LM=4602.0 KG RM=4602.0 KG
STATUS FUEL 1 AIRCRAFT_CONFIG 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 REGISTRATION 1 REGISTRATION_CHANGE 1"
375138386,2024-04-30 12:48:38,ZY,4483.0,30.0,BEL,human,UpdateFuelDataAction,"2024-04-30 12:48:38,013 INFO  [b15d8f1ee65fd2cb] [ZY4483 /30 BEL | human | UpdateFuelDataAction                |                                | default task-127]  Received:","
com.systemone.lc2.fuelhandling.dto.FuelDTO [ id = 0  flightId = 2293491 legId = 2404170  deleted = false  fragmentId = FuelDataFragment ]
 StandardFuel        : Yes                       Non standard fuel   : No                       
 EditionNumber       : 5                         Fueling Indicator   : false                     TruckOnSbyIndicator : false                    
                                           Manual Non Standard Index : NULL                     
 Actual OFP No       : NULL                      Density             : 0.811 KGPERCUBICMETER     Trip Fuel           : 10630.0 KG               
 FZFW                : NULL                      Max Fuel Cap        : 16304.0 KG               
 EZFW sent           : NULL                      Minimum TOF         : NULL                     
 Triggerd by         : MANUAL_INPUT                                                              Take Off Fuel       : 14479.0 KG               
                                                 Taxi Fuel           : 121.0 KG                 

                                                                                                 Planning Fuel       : NULL                     

 Flight Time         : NULL                      Remarks             :"
375138387,2024-04-30 12:48:38,ZY,4483.0,30.0,BEL,human,UpdateFuelDataAction,"2024-04-30 12:48:38,015 INFO  [b15d8f1ee65fd2cb] [ZY4483 /30 BEL | human | UpdateFuelDataAction                |                                | default task-127]  Saved:","FUEL  trip=10630.0 KG taxi=121.0 KG takeoff=14479.0 KG ballast=null edno=6 CT=5396.0 KG LM=4602.0 KG RM=4602.0 KG
STATUS LOZYSHEET 1 LOZYING_INSTRUCTION 1 FUEL 4 AIRCRAFT_CONFIG 1 EZFW 2 CARGO_FINAL 1 RAMP_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 EZFW_COUNTER 2 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0"
375138436,2024-04-30 13:02:14,ZY,9888.0,30.0,LIS,human,UpdateFuelDataAction,"2024-04-30 13:02:14,462 INFO  [8c170c380f05ae52] [ZY9888 /30 LIS | human  | UpdateFuelDataAction                |                                | default task-128]  Received:","
com.systemone.lc2.fuelhandling.dto.FuelDTO [ id = 0  flightId = 2293471 legId = 2404150  deleted = false  fragmentId = FuelDataFragment ]
 StandardFuel        : Yes                       Non standard fuel   : No                       
 EditionNumber       : 11                        Fueling Indicator   : false                     TruckOnSbyIndicator : false                    
                                           Manual Non Standard Index : NULL                     
 Actual OFP No       : NULL                      Density             : 0.795 KGPERCUBICMETER     Trip Fuel           : 55712.0 KG               
 FZFW                : NULL                      Max Fuel Cap        : 110577.0 KG              
 EZFW sent           : NULL                      Minimum TOF         : NULL                     
 Triggerd by         : MANUAL_INPUT                                                              Take Off Fuel       : 63856.0 KG               
                                                 Taxi Fuel           : 336.0 KG                 

                                                                                                 Planning Fuel       : NULL                     

 Flight Time         : NULL                      Remarks             :"
375138437,2024-04-30 13:02:14,ZY,9888.0,30.0,LIS,human,UpdateFuelDataAction,"2024-04-30 13:02:14,463 INFO  [8c170c380f05ae52] [ZY9888 /30 LIS | human  | UpdateFuelDataAction                |                                | default task-128]  Saved:","FUEL  trip=55712.0 KG taxi=336.0 KG takeoff=63856.0 KG ballast=null edno=12 RO=2902.0 KG RI=27394.0 KG TRIM=3600.0 KG LO=2902.0 KG LI=27394.0 KG
STATUS FUEL 1 AIRCRAFT_CONFIG 1 EZFW 9 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 9 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0"
