combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_AB_2148.0_30.0,2024-04-30 04:03:14,,,,,3958.0,21961.0,12233.0,308.0,12233.0
2024-05_AB_2148.0_30.0,2024-04-30 04:03:45,,,,,3958.0,21961.0,12233.0,308.0,12233.0
2024-05_AB_2492.0_30.0,2024-04-30 04:03:52,,,,,4808.0,21961.0,11961.0,198.0,12502.0
2024-05_AB_2492.0_30.0,2024-04-30 04:03:52,,,,,,,,,
2024-05_AB_2385.0_30.0,2024-04-30 04:04:16,,,,,5427.0,21961.0,9619.0,330.0,9619.0
2024-05_AB_2382.0_30.0,2024-04-30 04:12:10,,,,,4729.0,21961.0,11882.0,187.0,11913.0
2024-05_AB_2382.0_30.0,2024-04-30 04:12:10,,,,,,,,,
2024-05_AB_2371.0_30.0,2024-04-30 04:20:48,,,,,2305.0,21961.0,10253.0,198.0,10253.0
2024-05_AB_2371.0_30.0,2024-04-30 04:21:19,,,,,2305.0,21961.0,10253.0,198.0,10253.0
2024-05_AB_2172.0_30.0,2024-04-30 04:32:07,,,,,5302.0,21961.0,9438.0,330.0,9800.0
2024-05_AB_2172.0_30.0,2024-04-30 04:32:07,,,,,,,,,
2024-05_AB_2378.0_30.0,2024-04-30 04:32:20,,,,,4456.0,20724.0,8041.0,286.0,8041.0
2024-05_AB_2172.0_30.0,2024-04-30 04:33:27,,,,,5302.0,21961.0,9438.0,330.0,9470.0
2024-05_AB_2172.0_30.0,2024-04-30 04:33:27,,,,,,,,,
2024-05_AB_2379.0_30.0,2024-04-30 04:40:21,,,,,4945.0,20724.0,12272.0,220.0,12272.0
2024-05_AB_2379.0_30.0,2024-04-30 04:40:52,,,,,4945.0,20724.0,12272.0,220.0,12272.0
2024-05_AB_2486.0_30.0,2024-04-30 04:41:37,,,,,4326.0,21961.0,7600.0,198.0,7802.0
2024-05_AB_2486.0_30.0,2024-04-30 04:41:37,,,,,,,,,
2024-05_AB_2373.0_30.0,2024-04-30 04:44:45,,,,,6119.0,21961.0,9969.0,220.0,9980.0
2024-05_AB_2373.0_30.0,2024-04-30 04:44:45,,,,,,,,,
2024-05_AB_2607.0_30.0,2024-04-30 04:47:30,,,,,2212.0,20724.0,5432.0,286.0,5514.0
2024-05_AB_2607.0_30.0,2024-04-30 04:47:30,,,,,,,,,
2024-05_AB_2533.0_30.0,2024-04-30 04:57:02,,,,,3013.0,21961.0,10552.0,308.0,10900.0
2024-05_AB_2533.0_30.0,2024-04-30 04:57:02,,,,,,,,,
2024-05_AB_2533.0_30.0,2024-04-30 04:58:52,,,,,3013.0,21961.0,10552.0,308.0,10592.0
2024-05_AB_2533.0_30.0,2024-04-30 04:58:52,,,,,,,,,
2024-05_AB_2394.0_30.0,2024-04-30 05:09:54,,,,,1764.0,21961.0,5446.0,330.0,5446.0
2024-05_AB_2406.0_30.0,2024-04-30 05:10:40,,,,,4211.0,21961.0,7976.0,286.0,8014.0
2024-05_AB_2406.0_30.0,2024-04-30 05:10:40,,,,,,,,,
2024-05_AB_2411.0_30.0,2024-04-30 05:11:34,,,,,4335.0,21961.0,8225.0,286.0,8314.0
2024-05_AB_2411.0_30.0,2024-04-30 05:11:34,,,,,,,,,
2024-05_AB_2465.0_30.0,2024-04-30 05:13:25,,,,,2330.0,21961.0,6293.0,220.0,6293.0
