combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_MN_1120.0_1.0,2024-04-30 13:05:50,,,,,48619.0,110953.0,55636.0,875.0,55636.0
2024-05_MN_1106.0_1.0,2024-04-30 13:05:47,,,,,39538.0,78999.0,46823.0,1000.0,46823.0
2024-05_MN_1114.0_1.0,2024-04-30 13:55:53,,,,,18423.0,26683.0,21150.0,275.0,21150.0
2024-05_MN_1136.0_1.0,2024-04-30 14:25:46,,,,,35046.0,78999.0,40531.0,500.0,40531.0
2024-05_MN_1124.0_1.0,2024-04-30 14:55:50,,,,,40201.0,109186.0,46688.0,500.0,46688.0
2024-05_MN_1120.0_1.0,2024-04-30 16:24:47,0.0,0.0,0.0,0.0,48619.0,110953.0,55636.0,875.0,55636.0
2024-05_MN_1120.0_1.0,2024-04-30 16:24:47,0.0,0.0,0.0,0.0,,,,,
2024-05_MN_1060.0_1.0,2024-04-30 16:27:06,0.0,0.0,0.0,0.0,,78999.0,,,
2024-05_MN_1060.0_1.0,2024-04-30 16:27:06,0.0,0.0,0.0,0.0,,,,,
2024-05_MN_1106.0_1.0,2024-04-30 16:30:22,0.0,0.0,0.0,0.0,39538.0,78999.0,46823.0,1000.0,46823.0
2024-05_MN_1106.0_1.0,2024-04-30 16:30:22,0.0,0.0,0.0,0.0,,,,,
2024-05_MN_1402.0_1.0,2024-04-30 16:31:21,,,,,7356.0,18730.0,10216.0,230.0,10216.0
2024-05_MN_1562.0_1.0,2024-04-30 16:31:14,,,,,5829.0,18730.0,8012.0,345.0,8012.0
2024-05_MN_1124.0_1.0,2024-04-30 16:32:13,0.0,0.0,0.0,0.0,40201.0,109186.0,46688.0,500.0,46688.0
2024-05_MN_1124.0_1.0,2024-04-30 16:32:13,0.0,0.0,0.0,0.0,,,,,
2024-05_MN_1136.0_1.0,2024-04-30 16:31:24,0.0,0.0,0.0,0.0,35046.0,78999.0,40531.0,500.0,40531.0
2024-05_MN_1136.0_1.0,2024-04-30 16:31:24,0.0,0.0,0.0,0.0,,,,,
2024-05_MN_1068.0_1.0,2024-04-30 16:32:54,0.0,0.0,0.0,0.0,,78999.0,,,
2024-05_MN_1068.0_1.0,2024-04-30 16:32:54,0.0,0.0,0.0,0.0,,,,,
2024-05_MN_1550.0_1.0,2024-04-30 17:06:29,,,,,5192.0,18730.0,12860.0,230.0,12860.0
2024-05_MN_1164.0_1.0,2024-04-30 16:45:32,,,,,2236.0,18730.0,4904.0,288.0,4904.0
2024-05_MN_1692.0_1.0,2024-04-30 16:46:26,,,,,3616.0,18730.0,6166.0,345.0,6166.0
2024-05_MN_1432.0_1.0,2024-04-30 16:46:10,,,,,6326.0,18730.0,8920.0,345.0,8920.0
2024-05_MN_1202.0_1.0,2024-04-30 16:52:45,,,,,1584.0,18730.0,6510.0,345.0,6510.0
2024-05_MN_1604.0_1.0,2024-04-30 16:51:36,,,,,3154.0,18730.0,5523.0,288.0,5523.0
2024-05_MN_1524.0_1.0,2024-04-30 16:51:56,,,,,4055.0,18730.0,12070.0,288.0,12070.0
2024-05_MN_1162.0_1.0,2024-04-30 16:51:39,,,,,1877.0,19216.0,4065.0,288.0,4065.0
2024-05_MN_1152.0_1.0,2024-04-30 16:52:23,,,,,1899.0,19216.0,4497.0,345.0,4497.0
2024-05_MN_1262.0_1.0,2024-04-30 16:52:32,,,,,1742.0,18730.0,6730.0,345.0,6730.0
2024-05_MN_1602.0_1.0,2024-04-30 17:01:24,,,,,3170.0,18730.0,5705.0,230.0,5705.0
2024-05_MN_1630.0_1.0,2024-04-30 17:01:25,,,,,3716.0,18730.0,6509.0,345.0,6509.0
2024-05_MN_1428.0_1.0,2024-04-30 17:28:05,,,,,7152.0,18730.0,9819.0,230.0,9819.0
2024-05_MN_1428.0_1.0,2024-04-30 17:01:40,,,,,6311.0,18730.0,8958.0,230.0,8958.0
2024-05_MN_1342.0_1.0,2024-04-30 17:06:28,,,,,5277.0,18730.0,14546.0,345.0,14546.0
2024-05_MN_1642.0_1.0,2024-04-30 17:11:21,,,,,5244.0,18730.0,8253.0,345.0,8253.0
2024-05_MN_1450.0_1.0,2024-04-30 17:16:29,,,,,8421.0,18730.0,11813.0,230.0,11813.0
2024-05_MN_1660.0_1.0,2024-04-30 17:16:28,,,,,6248.0,18730.0,9364.0,345.0,9364.0
2024-05_MN_1332.0_1.0,2024-04-30 17:22:11,,,,,4289.0,18730.0,6875.0,345.0,6875.0
2024-05_MN_1208.0_1.0,2024-04-30 17:21:04,,,,,1608.0,18730.0,6397.0,288.0,6397.0
2024-05_MN_1592.0_1.0,2024-04-30 17:21:06,,,,,5801.0,18730.0,9395.0,230.0,9395.0
2024-05_MN_1581.0_1.0,2024-04-30 17:25:40,,,,,13009.0,78999.0,18564.0,375.0,18564.0
2024-05_MN_1580.0_1.0,2024-04-30 17:26:10,,,,,14656.0,78999.0,21763.0,750.0,21763.0
2024-05_MN_1352.0_1.0,2024-04-30 17:31:22,,,,,4623.0,26683.0,7110.0,330.0,7110.0
2024-05_MN_1353.0_1.0,2024-04-30 17:30:45,,,,,4730.0,26683.0,7569.0,187.0,7569.0
2024-05_MN_1476.0_1.0,2024-04-30 17:36:05,,,,,7535.0,18730.0,10620.0,345.0,10620.0
2024-05_MN_1520.0_1.0,2024-04-30 17:41:18,,,,,3624.0,18730.0,10469.0,345.0,10469.0
2024-05_MN_1650.0_1.0,2024-04-30 17:41:21,,,,,4125.0,18730.0,7374.0,345.0,7374.0
2024-05_MN_1392.0_1.0,2024-04-30 17:41:24,,,,,3979.0,18730.0,6779.0,288.0,6779.0
2024-05_MN_4250.0_1.0,2024-04-30 17:42:12,,,,,1758.0,18730.0,7274.0,345.0,7274.0
2024-05_MN_1422.0_1.0,2024-04-30 17:46:24,,,,,6859.0,18730.0,9700.0,345.0,9700.0
2024-05_MN_1582.0_1.0,2024-04-30 17:46:19,,,,,7307.0,18730.0,10149.0,345.0,10149.0
2024-05_MN_1166.0_1.0,2024-04-30 18:01:14,,,,,2189.0,18730.0,4930.0,288.0,4930.0
2024-05_MN_1506.0_1.0,2024-04-30 18:02:16,,,,,4486.0,18730.0,11032.0,345.0,11032.0
2024-05_MN_1060.0_1.0,2024-04-30 18:15:47,0.0,0.0,0.0,0.0,55931.0,78999.0,63244.0,475.0,63244.0
2024-05_MN_1492.0_1.0,2024-04-30 18:38:59,,,,,13159.0,78999.0,20692.0,750.0,20692.0
2024-05_MN_1776.0_1.0,2024-04-30 18:58:29,,,,,9267.0,18730.0,12158.0,345.0,12158.0
2024-05_MN_1493.0_1.0,2024-04-30 18:38:31,,,,,13581.0,78999.0,19013.0,300.0,19013.0
2024-05_MN_1158.0_1.0,2024-04-30 18:44:16,,,,,1957.0,19216.0,4382.0,288.0,4382.0
2024-05_MN_1381.0_1.0,2024-04-30 18:43:09,,,,,2241.0,26683.0,5053.0,231.0,5053.0
2024-05_MN_1492.0_1.0,2024-04-30 18:48:17,,,,,13220.0,78999.0,20755.0,750.0,20755.0
2024-05_MN_1120.0_1.0,2024-04-30 18:52:16,0.0,0.0,0.0,0.0,43075.0,110953.0,50236.0,875.0,50236.0
2024-05_MN_1106.0_1.0,2024-04-30 19:05:29,0.0,0.0,0.0,0.0,33380.0,78999.0,42193.0,1000.0,42193.0
2024-05_MN_1916.0_1.0,2024-04-30 19:55:47,,,,,2276.0,19216.0,4479.0,115.0,4479.0
2024-05_MN_1710.0_1.0,2024-04-30 20:01:27,,,,,2006.0,19216.0,4632.0,115.0,4632.0
2024-05_MN_1712.0_1.0,2024-04-30 20:00:32,,,,,2009.0,19216.0,4288.0,115.0,4288.0
2024-05_MN_1711.0_1.0,2024-04-30 20:01:00,,,,,1955.0,19216.0,6421.0,242.0,6421.0
2024-05_MN_1916.0_1.0,2024-04-30 20:01:42,,,,,2275.0,19216.0,4478.0,115.0,4478.0
2024-05_MN_1118.0_1.0,2024-04-30 20:06:33,,,,,17962.0,26683.0,21273.0,275.0,21273.0
2024-05_MN_1156.0_1.0,2024-04-30 20:10:30,,,,,1929.0,19216.0,5155.0,345.0,5155.0
2024-05_MN_1124.0_1.0,2024-04-30 20:17:50,0.0,0.0,0.0,0.0,36859.0,109186.0,43727.0,500.0,43727.0
2024-05_MN_1114.0_1.0,2024-04-30 20:18:14,,,,,16300.0,26683.0,19696.0,275.0,19696.0
2024-05_MN_1159.0_1.0,2024-04-30 20:34:01,,,,,1926.0,19216.0,4216.0,242.0,4216.0
2024-05_MN_1163.0_1.0,2024-04-30 20:30:26,,,,,1764.0,19216.0,4062.0,242.0,4062.0
2024-05_MN_1151.0_1.0,2024-04-30 20:42:33,,,,,1773.0,19216.0,4152.0,242.0,4152.0
2024-05_MN_1153.0_1.0,2024-04-30 20:44:46,,,,,1946.0,19216.0,4203.0,242.0,4203.0
2024-05_MN_1060.0_1.0,2024-04-30 21:17:28,0.0,0.0,0.0,0.0,50956.0,78999.0,58175.0,475.0,58175.0
2024-05_MN_1544.0_1.0,2024-04-30 22:01:13,,,,,5894.0,18730.0,8569.0,288.0,8569.0
