combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_ZY_999.0_30.0,2024-04-30 10:41:44,,,,,6387.0,18623.0,,138.0,8787.0
2024-05_ZY_999.0_30.0,2024-04-30 10:41:44,,,,,,,,,
2024-05_ZY_999.0_30.0,2024-04-30 10:52:34,,,,,6389.0,18623.0,,138.0,8809.0
2024-05_ZY_999.0_30.0,2024-04-30 10:52:34,,,,,,,,,
2024-05_ZY_4483.0_30.0,2024-04-30 12:40:18,,,,,10630.0,16304.0,,121.0,14407.0
2024-05_ZY_4483.0_30.0,2024-04-30 12:40:18,,,,,,,,,
2024-05_ZY_4483.0_30.0,2024-04-30 12:48:38,,,,,10630.0,16304.0,,121.0,14479.0
2024-05_ZY_4483.0_30.0,2024-04-30 12:48:38,,,,,,,,,
2024-05_ZY_9888.0_30.0,2024-04-30 13:02:14,,,,,55712.0,110577.0,,336.0,63856.0
2024-05_ZY_9888.0_30.0,2024-04-30 13:02:14,,,,,,,,,
2024-05_ZY_4483.0_30.0,2024-04-30 12:50:44,,,,,10621.0,16304.0,,121.0,14479.0
2024-05_ZY_4483.0_30.0,2024-04-30 12:50:44,,,,,,,,,
2024-05_ZY_4483.0_30.0,2024-04-30 12:51:38,,,,,10621.0,16304.0,,121.0,14393.0
2024-05_ZY_4483.0_30.0,2024-04-30 12:51:38,,,,,,,,,
2024-05_ZY_9700.0_30.0,2024-04-30 15:52:04,,,,,51486.0,110577.0,,252.0,61055.0
2024-05_ZY_9700.0_30.0,2024-04-30 15:52:04,,,,,,,,,
2024-05_ZY_9700.0_30.0,2024-04-30 15:58:36,,,,,15437.0,110577.0,,252.0,24078.0
2024-05_ZY_9700.0_30.0,2024-04-30 15:58:36,,,,,,,,,
2024-05_ZY_2111.0_1.0,2024-05-01 18:05:57,,,,,1910.0,13100.0,,108.0,4063.0
2024-05_ZY_2111.0_1.0,2024-05-01 18:05:57,,,,,,,,,
2024-05_ZY_3222.0_1.0,2024-05-01 18:48:43,,,,,3527.0,13563.0,,99.0,6213.0
2024-05_ZY_3222.0_1.0,2024-05-01 18:48:43,,,,,,,,,
2024-05_ZY_3222.0_1.0,2024-05-01 18:56:10,,,,,3536.0,13563.0,,99.0,6477.0
2024-05_ZY_3222.0_1.0,2024-05-01 18:56:10,,,,,,,,,
2024-05_ZY_4333.0_1.0,2024-05-01 20:12:00,,,,,8332.0,13100.0,,81.0,11653.0
2024-05_ZY_4333.0_1.0,2024-05-01 20:12:00,,,,,,,,,
2024-05_ZY_8777.0_2.0,2024-05-02 10:49:57,,,,,8799.0,16304.0,,99.0,14096.0
2024-05_ZY_8777.0_2.0,2024-05-02 10:49:57,,,,,,,,,
2024-05_ZY_8777.0_2.0,2024-05-02 10:56:18,,,,,8732.0,16304.0,,99.0,14132.0
2024-05_ZY_8777.0_2.0,2024-05-02 10:56:18,,,,,,,,,
2024-05_ZY_8777.0_2.0,2024-05-02 11:37:24,,,,,5967.0,16304.0,,121.0,11170.0
2024-05_ZY_8777.0_2.0,2024-05-02 11:37:24,,,,,,,,,
2024-05_ZY_2022.0_3.0,2024-05-03 09:29:53,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2023.0_3.0,2024-05-03 09:30:28,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2023.0_3.0,2024-05-03 09:30:28,,,,,,,,,
2024-05_ZY_2000.0_3.0,2024-05-03 09:17:07,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2000.0_3.0,2024-05-03 09:17:07,,,,,,,,,
2024-05_ZY_2001.0_3.0,2024-05-03 09:17:48,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2001.0_3.0,2024-05-03 09:17:48,,,,,,,,,
2024-05_ZY_2003.0_3.0,2024-05-03 09:18:56,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2003.0_3.0,2024-05-03 09:18:56,,,,,,,,,
2024-05_ZY_2002.0_3.0,2024-05-03 09:18:20,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2002.0_3.0,2024-05-03 09:18:20,,,,,,,,,
2024-05_ZY_2004.0_3.0,2024-05-03 09:19:28,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2004.0_3.0,2024-05-03 09:19:28,,,,,,,,,
2024-05_ZY_2012.0_3.0,2024-05-03 09:24:22,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2012.0_3.0,2024-05-03 09:24:22,,,,,,,,,
2024-05_ZY_2005.0_3.0,2024-05-03 09:20:09,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2005.0_3.0,2024-05-03 09:20:09,,,,,,,,,
2024-05_ZY_2006.0_3.0,2024-05-03 09:20:48,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2006.0_3.0,2024-05-03 09:20:48,,,,,,,,,
2024-05_ZY_2007.0_3.0,2024-05-03 09:21:22,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2007.0_3.0,2024-05-03 09:21:22,,,,,,,,,
2024-05_ZY_2008.0_3.0,2024-05-03 09:22:02,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2008.0_3.0,2024-05-03 09:22:02,,,,,,,,,
2024-05_ZY_2009.0_3.0,2024-05-03 09:22:34,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2009.0_3.0,2024-05-03 09:22:34,,,,,,,,,
2024-05_ZY_2010.0_3.0,2024-05-03 09:23:09,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2010.0_3.0,2024-05-03 09:23:09,,,,,,,,,
2024-05_ZY_2011.0_3.0,2024-05-03 09:23:42,,,,,800.0,5000.0,,70.0,2000.0
