id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
375132481,2024-04-30 10:20:09,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:20:09,056 INFO  [80303cee208fe70d] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Received:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = NULL  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447321  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447324  NULL         ESTIMATE  10.00     KG   0         0.00      GRU       GRU       REC       C         1         false     RRY/5PT0 
 42447322  NULL         ESTIMATE  2200.00   KG   110       0.00      GRU       GRU       REC       B         1         false     NULL 
 42447323  NULL         ESTIMATE  1200.00   KG   60        0.00      GRU       GRU       REC       B         4         false     NULL 
 NULL      NULL         ESTIMATE  10.00     KG   0         0.00      GRU       GRU       REC       C         4         false     RRY/4PT0"
375132484,2024-04-30 10:20:09,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:20:09,060 INFO  [80303cee208fe70d] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42446984  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42446985  NULL         ESTIMATE  10.00     KG   0         0.00      GRU       GRU       REC       C         1         false     RRY/5PT0 
 42446986  NULL         ESTIMATE  2200.00   KG   110       0.00      GRU       GRU       REC       B         1         false     NULL 
 42446987  NULL         ESTIMATE  1200.00   KG   60        0.00      GRU       GRU       REC       B         4         false     NULL 
 42446988  NULL         ESTIMATE  10.00     KG   0         0.00      GRU       GRU       REC       C         4         false     RRY/4PT0 

Total baggage      : 3400.00  KG               
Total cargo        : 2020.00  KG               
Total EIC          : 0.00     KG               
Total mail         : 0.00     KG               
STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0"
375133253,2024-04-30 10:17:40,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:17:40,295 INFO  [be99d60c9998f9ef] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Received:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = NULL  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447277  NULL         ESTIMATE  2000.00   KG   100       0.00      GRU       GRU       REC       B         4         false     NULL 
 NULL      NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 NULL      NULL         ESTIMATE  1400.00   KG   70        0.00      GRU       GRU       REC       B         4         false     NULL"
375133256,2024-04-30 10:17:40,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:17:40,300 INFO  [be99d60c9998f9ef] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447278  NULL         ESTIMATE  2000.00   KG   100       0.00      GRU       GRU       REC       B         4         false     NULL 
 42447279  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447280  NULL         ESTIMATE  1400.00   KG   70        0.00      GRU       GRU       REC       B         4         false     NULL 

Total baggage      : 3400.00  KG               
Total cargo        : 2000.00  KG               
Total EIC          : 0.00     KG               
Total mail         : 0.00     KG               
STATUS AIRCRAFT_CONFIG 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 BAG_LOZY_ITEMS_GEN 1 REGISTRATION 1 REGISTRATION_CHANGE 1"
375133257,2024-04-30 10:17:57,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:17:57,012 INFO  [ba8228a1512e16a8] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Received:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = NULL  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447279  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447278  NULL         ESTIMATE  2000.00   KG   100       0.00      GRU       GRU       REC       B         1         false     NULL 
 42447280  NULL         ESTIMATE  1400.00   KG   70        0.00      GRU       GRU       REC       B         4         false     NULL"
375133260,2024-04-30 10:17:57,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:17:57,017 INFO  [ba8228a1512e16a8] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447281  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447282  NULL         ESTIMATE  1400.00   KG   70        0.00      GRU       GRU       REC       B         4         false     NULL 
 42447283  NULL         ESTIMATE  2000.00   KG   100       0.00      GRU       GRU       REC       B         1         false     NULL 

Total baggage      : 3400.00  KG               
Total cargo        : 2000.00  KG               
Total EIC          : 0.00     KG               
Total mail         : 0.00     KG               
STATUS AIRCRAFT_CONFIG 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 BAG_LOZY_ITEMS_GEN 1 REGISTRATION 1 REGISTRATION_CHANGE 1"
375133420,2024-04-30 10:18:54,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:18:54,878 INFO  [16b51f8f97d7ea41] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Received:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = NULL  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447281  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447283  NULL         ESTIMATE  2200.00   KG   110       0.00      GRU       GRU       REC       B         1         false     NULL 
 42447282  NULL         ESTIMATE  1200.00   KG   60        0.00      GRU       GRU       REC       B         4         false     NULL"
375133423,2024-04-30 10:18:54,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:18:54,884 INFO  [16b51f8f97d7ea41] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447677  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447678  NULL         ESTIMATE  2200.00   KG   110       0.00      GRU       GRU       REC       B         1         false     NULL 
 42447679  NULL         ESTIMATE  1200.00   KG   60        0.00      GRU       GRU       REC       B         4         false     NULL 

Total baggage      : 3400.00  KG               
Total cargo        : 2000.00  KG               
Total EIC          : 0.00     KG               
Total mail         : 0.00     KG               
STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1"
375133429,2024-04-30 10:19:21,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:19:21,181 INFO  [7f7ba5a58fe877d3] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Received:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = NULL  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447677  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447678  NULL         ESTIMATE  2200.00   KG   110       0.00      GRU       GRU       REC       B         1         false     NULL 
 42447679  NULL         ESTIMATE  1200.00   KG   60        0.00      GRU       GRU       REC       B         4         false     NULL 
 NULL      NULL         ESTIMATE  10.00     KG   0         0.00      GRU       GRU       REC       C         1         false     RRY/5PT0"
375133432,2024-04-30 10:19:21,ZY,999.0,30.0,GRU,human,UpdateLoadTableAction,"2024-04-30 10:19:21,185 INFO  [7f7ba5a58fe877d3] [ZY999 /30 GRU | human  | UpdateLoadTableAction               |                                | default task-126]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 9398503  flightId = 2293451 legId = 2404130  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 42447321  NULL         ESTIMATE  2000.00   KG   0         0.00      GRU       GRU       REC       C         3         false     NULL 
 42447322  NULL         ESTIMATE  2200.00   KG   110       0.00      GRU       GRU       REC       B         1         false     NULL 
 42447323  NULL         ESTIMATE  1200.00   KG   60        0.00      GRU       GRU       REC       B         4         false     NULL 
 42447324  NULL         ESTIMATE  10.00     KG   0         0.00      GRU       GRU       REC       C         1         false     RRY/5PT0 

Total baggage      : 3400.00  KG               
Total cargo        : 2010.00  KG               
Total EIC          : 0.00     KG               
Total mail         : 0.00     KG               
STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOZY_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 DGR_ITEMS 0"
