total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
,,,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:01:12
29.00,0.00,0.00,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:01:12
,,,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:03:10
0.00,0.00,29.00,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:03:10
,,,BBI,2024-05_AB_2382.0_30.0,2024-04-30 04:10:47
433.00,0.00,0.00,BBI,2024-05_AB_2382.0_30.0,2024-04-30 04:10:47
,,,BBI,2024-05_AB_2382.0_30.0,2024-04-30 04:10:58
433.00,0.00,0.00,BBI,2024-05_AB_2382.0_30.0,2024-04-30 04:10:58
,,,DEL,2024-05_AB_2378.0_30.0,2024-04-30 04:11:13
0.00,0.00,0.00,DEL,2024-05_AB_2378.0_30.0,2024-04-30 04:11:13
,,,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:12:35
3454.00,0.00,0.00,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:12:35
,,,IXB,2024-05_AB_2373.0_30.0,2024-04-30 04:12:51
160.00,0.00,0.00,IXB,2024-05_AB_2373.0_30.0,2024-04-30 04:12:51
,,,LKO,2024-05_AB_2526.0_30.0,2024-04-30 04:21:27
33.00,0.00,0.00,LKO,2024-05_AB_2526.0_30.0,2024-04-30 04:21:27
,,,LKO,2024-05_AB_2526.0_30.0,2024-04-30 04:21:35
33.00,0.00,0.00,LKO,2024-05_AB_2526.0_30.0,2024-04-30 04:21:35
,,,LKO,2024-05_AB_2526.0_30.0,2024-04-30 04:21:40
33.00,0.00,0.00,LKO,2024-05_AB_2526.0_30.0,2024-04-30 04:21:40
,,,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:22:57
3454.00,0.00,0.00,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:22:57
,,,IXZ,2024-05_AB_2486.0_30.0,2024-04-30 04:27:07
0.00,0.00,0.00,IXZ,2024-05_AB_2486.0_30.0,2024-04-30 04:27:07
,,,IXZ,2024-05_AB_2486.0_30.0,2024-04-30 04:27:15
0.00,0.00,0.00,IXZ,2024-05_AB_2486.0_30.0,2024-04-30 04:27:15
,,,IXB,2024-05_AB_2373.0_30.0,2024-04-30 04:28:22
160.00,0.00,0.00,IXB,2024-05_AB_2373.0_30.0,2024-04-30 04:28:22
,,,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:29:44
0.00,0.00,29.00,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:29:44
,,,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:29:49
0.00,0.00,29.00,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:29:49
,,,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:31:02
0.00,0.00,29.00,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:31:02
,,,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:31:08
0.00,0.00,29.00,DEL,2024-05_AB_2607.0_30.0,2024-04-30 04:31:08
,,,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:32:31
2847.00,0.00,0.00,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:32:31
,,,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:32:57
3130.00,0.00,0.00,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:32:57
,,,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:33:16
3454.00,0.00,0.00,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:33:16
,,,PNQ,2024-05_AB_2383.0_30.0,2024-04-30 04:33:49
300.00,0.00,0.00,PNQ,2024-05_AB_2383.0_30.0,2024-04-30 04:33:49
,,,AMD,2024-05_AB_2533.0_30.0,2024-04-30 04:34:40
1432.00,0.00,0.00,AMD,2024-05_AB_2533.0_30.0,2024-04-30 04:34:40
,,,AMD,2024-05_AB_2533.0_30.0,2024-04-30 04:34:44
1432.00,0.00,0.00,AMD,2024-05_AB_2533.0_30.0,2024-04-30 04:34:44
,,,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:21
0.00,0.00,0.00,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:21
,,,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:24
0.00,0.00,0.00,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:24
,,,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:26
0.00,0.00,0.00,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:26
,,,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:29
0.00,0.00,0.00,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:29
,,,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:37
318.00,0.00,0.00,BOM,2024-05_AB_2385.0_30.0,2024-04-30 04:35:37
,,,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:06
0.00,0.00,0.00,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:06
,,,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:23
0.00,0.00,0.00,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:23
,,,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:34
0.00,0.00,0.00,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:34
,,,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:49
0.00,0.00,0.00,BOM,2024-05_AB_2147.0_30.0,2024-04-30 04:36:49
,,,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:17
0.00,0.00,0.00,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:17
,,,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:27
0.00,0.00,0.00,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:27
,,,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:31
0.00,0.00,0.00,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:31
,,,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:40
1500.00,0.00,0.00,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:40
,,,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:47
2038.00,0.00,0.00,GOX,2024-05_AB_2627.0_30.0,2024-04-30 04:37:47
,,,IXB,2024-05_AB_2373.0_30.0,2024-04-30 04:38:06
160.00,0.00,0.00,IXB,2024-05_AB_2373.0_30.0,2024-04-30 04:38:06
,,,COK,2024-05_AB_2519.0_30.0,2024-04-30 04:39:31
