total_baggage,total_cargo,total_mnc,total_mail,departure_airport,combined,timestamp
,,,,DUB,2024-05_MN_1446.0_1.0,2024-04-30 05:35:40
1820.00,0.00,88.00,0.00,DUB,2024-05_MN_1446.0_1.0,2024-04-30 05:35:40
,,,,DUB,2024-05_MN_1446.0_1.0,2024-04-30 05:36:05
1820.00,0.00,264.00,0.00,DUB,2024-05_MN_1446.0_1.0,2024-04-30 05:36:05
,,,,DUB,2024-05_MN_1446.0_1.0,2024-04-30 05:35:56
1820.00,0.00,176.00,0.00,DUB,2024-05_MN_1446.0_1.0,2024-04-30 05:35:56
,,,,DUB,2024-05_MN_1152.0_1.0,2024-04-30 06:31:01
1872.00,0.00,0.00,0.00,DUB,2024-05_MN_1152.0_1.0,2024-04-30 06:31:01
,,,,DUB,2024-05_MN_1450.0_1.0,2024-04-30 06:19:44
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1450.0_1.0,2024-04-30 06:19:44
,,,,DUB,2024-05_MN_1602.0_1.0,2024-04-30 06:20:58
1391.00,0.00,0.00,0.00,DUB,2024-05_MN_1602.0_1.0,2024-04-30 06:20:58
,,,,DUB,2024-05_MN_1550.0_1.0,2024-04-30 06:24:21
1365.00,0.00,0.00,0.00,DUB,2024-05_MN_1550.0_1.0,2024-04-30 06:24:21
,,,,DUB,2024-05_MN_1592.0_1.0,2024-04-30 06:25:54
1508.00,0.00,0.00,0.00,DUB,2024-05_MN_1592.0_1.0,2024-04-30 06:25:54
,,,,DUB,2024-05_MN_1592.0_1.0,2024-04-30 06:26:23
1053.00,0.00,0.00,0.00,DUB,2024-05_MN_1592.0_1.0,2024-04-30 06:26:23
,,,,DUB,2024-05_MN_1402.0_1.0,2024-04-30 06:27:09
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1402.0_1.0,2024-04-30 06:27:09
,,,,DUB,2024-05_MN_1202.0_1.0,2024-04-30 06:28:28
338.00,0.00,0.00,0.00,DUB,2024-05_MN_1202.0_1.0,2024-04-30 06:28:28
,,,,DUB,2024-05_MN_1262.0_1.0,2024-04-30 06:29:00
1534.00,0.00,0.00,0.00,DUB,2024-05_MN_1262.0_1.0,2024-04-30 06:29:00
,,,,DUB,2024-05_MN_1562.0_1.0,2024-04-30 06:34:48
1378.00,0.00,0.00,0.00,DUB,2024-05_MN_1562.0_1.0,2024-04-30 06:34:48
,,,,DUB,2024-05_MN_4250.0_1.0,2024-04-30 06:32:44
910.00,0.00,0.00,0.00,DUB,2024-05_MN_4250.0_1.0,2024-04-30 06:32:44
,,,,DUB,2024-05_MN_1520.0_1.0,2024-04-30 06:33:55
1365.00,0.00,0.00,0.00,DUB,2024-05_MN_1520.0_1.0,2024-04-30 06:33:55
,,,,DUB,2024-05_MN_1692.0_1.0,2024-04-30 06:35:42
1014.00,0.00,0.00,0.00,DUB,2024-05_MN_1692.0_1.0,2024-04-30 06:35:42
,,,,DUB,2024-05_MN_1778.0_1.0,2024-04-30 07:00:32
,,,,DUB,2024-05_MN_1630.0_1.0,2024-04-30 06:36:19
1027.00,0.00,0.00,0.00,DUB,2024-05_MN_1630.0_1.0,2024-04-30 06:36:19
,,,,DUB,2024-05_MN_1506.0_1.0,2024-04-30 06:39:50
1209.00,0.00,0.00,0.00,DUB,2024-05_MN_1506.0_1.0,2024-04-30 06:39:50
,,,,DUB,2024-05_MN_1748.0_1.0,2024-04-30 06:55:57
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1748.0_1.0,2024-04-30 06:55:57
,,,,DUB,2024-05_MN_1650.0_1.0,2024-04-30 06:40:27
1001.00,0.00,0.00,0.00,DUB,2024-05_MN_1650.0_1.0,2024-04-30 06:40:27
,,,,DUB,2024-05_MN_1168.0_1.0,2024-04-30 07:00:54
962.00,0.00,0.00,0.00,DUB,2024-05_MN_1168.0_1.0,2024-04-30 07:00:54
,,,,DUB,2024-05_MN_1510.0_1.0,2024-04-30 07:01:25
,,,,DUB,2024-05_MN_1432.0_1.0,2024-04-30 06:41:10
1885.00,0.00,0.00,0.00,DUB,2024-05_MN_1432.0_1.0,2024-04-30 06:41:10
,,,,DUB,2024-05_MN_1660.0_1.0,2024-04-30 06:45:15
1456.00,0.00,0.00,0.00,DUB,2024-05_MN_1660.0_1.0,2024-04-30 06:45:15
,,,,DUB,2024-05_MN_1342.0_1.0,2024-04-30 06:43:28
1040.00,0.00,0.00,0.00,DUB,2024-05_MN_1342.0_1.0,2024-04-30 06:43:29
,,,,DUB,2024-05_MN_1604.0_1.0,2024-04-30 06:50:45
936.00,0.00,0.00,0.00,DUB,2024-05_MN_1604.0_1.0,2024-04-30 06:50:45
,,,,DUB,2024-05_MN_1544.0_1.0,2024-04-30 06:52:07
1443.00,0.00,0.00,0.00,DUB,2024-05_MN_1544.0_1.0,2024-04-30 06:52:07
,,,,DUB,2024-05_MN_1162.0_1.0,2024-04-30 06:52:38
,,,,DUB,2024-05_MN_1642.0_1.0,2024-04-30 06:46:00
1430.00,0.00,0.00,0.00,DUB,2024-05_MN_1642.0_1.0,2024-04-30 06:46:00
,,,,DUB,2024-05_MN_1476.0_1.0,2024-04-30 06:46:37
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1476.0_1.0,2024-04-30 06:46:37
,,,,DUB,2024-05_MN_1422.0_1.0,2024-04-30 06:47:17
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1422.0_1.0,2024-04-30 06:47:17
,,,,DUB,2024-05_MN_1582.0_1.0,2024-04-30 06:48:58
,,,,DUB,2024-05_MN_1776.0_1.0,2024-04-30 06:48:09
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1776.0_1.0,2024-04-30 06:48:09
,,,,DUB,2024-05_MN_1392.0_1.0,2024-04-30 06:51:03
1456.00,0.00,0.00,0.00,DUB,2024-05_MN_1392.0_1.0,2024-04-30 06:51:03
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1582.0_1.0,2024-04-30 06:48:58
,,,,DUB,2024-05_MN_1158.0_1.0,2024-04-30 06:50:06
572.00,0.00,0.00,0.00,DUB,2024-05_MN_1158.0_1.0,2024-04-30 06:50:06
,,,,DUB,2024-05_MN_1156.0_1.0,2024-04-30 06:49:37
1040.00,0.00,0.00,0.00,DUB,2024-05_MN_1156.0_1.0,2024-04-30 06:49:37
,,,,DUB,2024-05_MN_1524.0_1.0,2024-04-30 06:50:22
1495.00,0.00,0.00,0.00,DUB,2024-05_MN_1524.0_1.0,2024-04-30 06:50:22
,,,,DUB,2024-05_MN_1584.0_1.0,2024-04-30 06:53:14
741.00,0.00,0.00,0.00,DUB,2024-05_MN_1162.0_1.0,2024-04-30 06:52:38
,,,,DUB,2024-05_MN_1208.0_1.0,2024-04-30 06:54:58
533.00,0.00,0.00,0.00,DUB,2024-05_MN_1208.0_1.0,2024-04-30 06:54:58
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1584.0_1.0,2024-04-30 06:53:14
,,,,DUB,2024-05_MN_1526.0_1.0,2024-04-30 06:55:27
