total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:20:09
2020.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:20:09
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:17:40
2000.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:17:40
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:17:57
2000.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:17:57
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:18:54
2000.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:18:54
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:19:21
2010.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:19:21
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:20:26
2030.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:20:26
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:34:24
2020.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:34:24
,,,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:35:36
2020.00,0.00,0.00,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:35:36
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:19:51
0.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:19:51
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:22:24
0.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:22:24
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:23:57
3600.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:23:57
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:25:22
10800.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:25:22
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:24:51
7200.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:24:51
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:25:58
14400.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:25:58
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:28:13
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:26:35
14400.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:26:35
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:27:05
18000.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:27:05
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:27:34
21600.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:27:34
25000.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:28:13
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:29:00
25020.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:29:00
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:30:41
25020.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:30:41
,,,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:33:40
25020.00,0.00,0.00,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 12:33:40
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:41:15
1350.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:41:15
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:41:32
3950.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:41:32
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:41:54
6400.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:41:54
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:43:07
8780.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:43:07
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:42:21
8750.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:42:21
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:44:00
16030.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:44:00
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:43:26
11930.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:43:26
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:50:51
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:45:55
17010.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:45:55
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:44:59
16060.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:44:59
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:45:19
16910.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:45:19
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:46:14
17410.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:46:14
,,,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:46:32
18160.00,0.00,0.00,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:46:32
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:52:35
