total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
433.0,0.0,0.0,BBI,2024-05_AB_2382.0_30.0,2024-04-30 04:10:58
2769.0,0.0,0.0,BOM,2024-05_AB_2172.0_30.0,2024-04-30 04:50:00
0.0,0.0,29.0,DEL,2024-05_AB_2607.0_30.0,2024-04-30 05:03:15
937.0,0.0,0.0,DEL,2024-05_AB_2411.0_30.0,2024-04-30 05:06:59
1432.0,0.0,0.0,AMD,2024-05_AB_2533.0_30.0,2024-04-30 05:07:30
160.0,0.0,0.0,IXB,2024-05_AB_2373.0_30.0,2024-04-30 05:07:39
0.0,0.0,0.0,GOX,2024-05_AB_2371.0_30.0,2024-04-30 05:08:16
33.0,0.0,0.0,LKO,2024-05_AB_2526.0_30.0,2024-04-30 05:08:20
0.0,0.0,0.0,BOM,2024-05_AB_2147.0_30.0,2024-04-30 05:22:30
2279.0,0.0,0.0,DEL,2024-05_AB_2406.0_30.0,2024-04-30 05:26:17
318.0,0.0,0.0,BOM,2024-05_AB_2385.0_30.0,2024-04-30 05:43:38
0.0,0.0,0.0,DEL,2024-05_AB_2378.0_30.0,2024-04-30 05:44:51
618.0,0.0,0.0,GOX,2024-05_AB_2463.0_30.0,2024-04-30 05:59:16
604.0,0.0,0.0,COK,2024-05_AB_2519.0_30.0,2024-04-30 06:00:03
792.0,0.0,0.0,IXB,2024-05_AB_2851.0_30.0,2024-04-30 07:01:29
1226.0,0.0,0.0,GAU,2024-05_AB_2323.0_30.0,2024-04-30 07:06:43
1.0,0.0,0.0,BOM,2024-05_AB_2394.0_30.0,2024-04-30 07:09:22
1105.0,0.0,0.0,GOX,2024-05_AB_2534.0_30.0,2024-04-30 07:11:43
125.0,0.0,0.0,PNQ,2024-05_AB_2383.0_30.0,2024-04-30 07:19:05
2038.0,0.0,0.0,GOX,2024-05_AB_2627.0_30.0,2024-04-30 07:19:25
4.0,0.0,0.0,BOM,2024-05_AB_2127.0_30.0,2024-04-30 07:29:14
1178.0,0.0,0.0,BOM,2024-05_AB_2498.0_30.0,2024-04-30 07:31:56
766.0,0.0,0.0,MAA,2024-05_AB_2486.0_30.0,2024-04-30 07:56:17
0.0,23.0,0.0,GWL,2024-05_AB_2148.0_30.0,2024-04-30 07:57:48
162.0,0.0,0.0,CCU,2024-05_AB_2173.0_30.0,2024-04-30 07:59:34
0.0,0.0,0.0,BOM,2024-05_AB_2380.0_30.0,2024-04-30 08:04:02
2821.0,0.0,0.0,BOM,2024-05_AB_2503.0_30.0,2024-04-30 08:24:20
531.0,0.0,0.0,BLR,2024-05_AB_2377.0_30.0,2024-04-30 08:40:35
748.0,0.0,0.0,BOM,2024-05_AB_2451.0_30.0,2024-04-30 08:47:59
1062.0,0.0,0.0,HYD,2024-05_AB_2431.0_30.0,2024-04-30 08:51:13
1432.0,0.0,0.0,GOX,2024-05_AB_2379.0_30.0,2024-04-30 08:59:26
1681.0,0.0,0.0,BOM,2024-05_AB_2110.0_30.0,2024-04-30 09:07:35
0.0,0.0,0.0,GOX,2024-05_AB_2465.0_30.0,2024-04-30 09:09:02
2203.0,0.0,0.0,DEL,2024-05_AB_2608.0_30.0,2024-04-30 09:11:33
1481.0,0.0,0.0,BLR,2024-05_AB_2364.0_30.0,2024-04-30 09:22:54
1172.0,0.0,0.0,IXB,2024-05_AB_2386.0_30.0,2024-04-30 09:33:10
1872.0,0.0,0.0,BLR,2024-05_AB_2628.0_30.0,2024-04-30 09:41:39
0.0,0.0,0.0,GOX,2024-05_AB_2142.0_30.0,2024-04-30 09:43:58
32.0,0.0,0.0,BBI,2024-05_AB_2384.0_30.0,2024-04-30 09:52:49
0.0,150.0,0.0,AMD,2024-05_AB_2108.0_30.0,2024-04-30 10:08:20
0.0,0.0,0.0,VNS,2024-05_AB_2497.0_30.0,2024-04-30 10:10:56
707.0,0.0,0.0,DEL,2024-05_AB_2128.0_30.0,2024-04-30 10:19:14
59.0,0.0,0.0,GAU,2024-05_AB_2324.0_30.0,2024-04-30 10:21:52
0.0,0.0,0.0,BLR,2024-05_AB_2432.0_30.0,2024-04-30 10:30:05
834.0,0.0,0.0,BLR,2024-05_AB_2527.0_30.0,2024-04-30 10:31:09
198.0,0.0,0.0,BLR,2024-05_AB_2134.0_30.0,2024-04-30 10:56:28
0.0,0.0,0.0,BOM,2024-05_AB_2491.0_30.0,2024-04-30 11:29:37
0.0,0.0,0.0,PNQ,2024-05_AB_2143.0_30.0,2024-04-30 11:32:01
1872.0,0.0,0.0,GOX,2024-05_AB_2629.0_30.0,2024-04-30 11:35:16
2464.0,0.0,0.0,BOM,2024-05_AB_2124.0_30.0,2024-04-30 11:36:18
94.0,0.0,0.0,PNQ,2024-05_AB_2365.0_30.0,2024-04-30 11:41:02
117.0,0.0,0.0,GAU,2024-05_AB_2504.0_30.0,2024-04-30 11:41:12
1290.0,0.0,0.0,CCU,2024-05_AB_2541.0_30.0,2024-04-30 11:43:15
0.0,0.0,0.0,PNQ,2024-05_AB_2510.0_30.0,2024-04-30 11:44:19
313.0,0.0,0.0,BLR,2024-05_AB_2104.0_30.0,2024-04-30 12:12:10
687.0,0.0,0.0,BLR,2024-05_AB_2550.0_30.0,2024-04-30 12:39:21
1171.0,0.0,0.0,HYD,2024-05_AB_2407.0_30.0,2024-04-30 12:43:04
479.0,0.0,0.0,DEL,2024-05_AB_2334.0_30.0,2024-04-30 12:43:08
381.0,154.0,0.0,BOM,2024-05_AB_2376.0_30.0,2024-04-30 12:48:38
173.0,0.0,0.0,BOM,2024-05_AB_2642.0_30.0,2024-04-30 13:03:36
0.0,0.0,0.0,GOX,2024-05_AB_2358.0_30.0,2024-04-30 13:06:30
0.0,0.0,0.0,BLR,2024-05_AB_2612.0_10.0,2024-04-30 13:30:52
0.0,0.0,0.0,BLR,2024-05_AB_2311.0_9.0,2024-04-30 13:30:53
0.0,0.0,0.0,VNS,2024-05_AB_2613.0_10.0,2024-04-30 13:30:53
0.0,0.0,0.0,PNQ,2024-05_AB_2312.0_10.0,2024-04-30 13:30:53
0.0,0.0,0.0,GOX,2024-05_AB_2629.0_12.0,2024-04-30 13:31:42
0.0,0.0,0.0,BLR,2024-05_AB_2628.0_12.0,2024-04-30 13:31:43
0.0,0.0,0.0,DEL,2024-05_AB_2630.0_12.0,2024-04-30 13:31:45
0.0,0.0,0.0,CCU,2024-05_AB_2565.0_11.0,2024-04-30 13:31:46
198.0,0.0,0.0,BOM,2024-05_AB_2120.0_30.0,2024-04-30 13:32:47
481.0,0.0,0.0,LKO,2024-05_AB_2401.0_30.0,2024-04-30 13:48:42
0.0,0.0,0.0,BOM,2024-05_AB_2349.0_30.0,2024-04-30 13:50:33
545.0,0.0,0.0,BLR,2024-05_AB_2437.0_30.0,2024-04-30 14:06:36
0.0,0.0,0.0,DEL,2024-05_AB_2630.0_30.0,2024-04-30 14:18:10
0.0,0.0,0.0,VNS,2024-05_AB_2424.0_30.0,2024-04-30 14:25:15
1076.0,0.0,0.0,BLR,2024-05_AB_2368.0_30.0,2024-04-30 14:29:40
2300.0,0.0,0.0,AMD,2024-05_AB_2508.0_30.0,2024-04-30 14:42:30
757.0,0.0,0.0,BOM,2024-05_AB_2525.0_30.0,2024-04-30 14:51:11
0.0,0.0,0.0,GAU,2024-05_AB_2135.0_30.0,2024-04-30 14:55:24
1422.0,0.0,0.0,PNQ,2024-05_AB_2551.0_30.0,2024-04-30 14:57:56
830.0,0.0,0.0,CCU,2024-05_AB_2125.0_30.0,2024-04-30 15:00:45
1039.0,0.0,0.0,BOM,2024-05_AB_2341.0_30.0,2024-04-30 15:12:35
0.0,0.0,0.0,GOX,2024-05_AB_2397.0_30.0,2024-04-30 15:24:04
316.0,0.0,0.0,DEL,2024-05_AB_2146.0_30.0,2024-04-30 15:50:20
207.0,0.0,0.0,DEL,2024-05_AB_2409.0_30.0,2024-04-30 15:55:16
532.0,0.0,0.0,PNQ,2024-05_AB_2509.0_30.0,2024-04-30 16:00:59
2016.0,0.0,0.0,HYD,2024-05_AB_2643.0_30.0,2024-04-30 16:16:17
714.0,35.0,0.0,BLR,2024-05_AB_2366.0_30.0,2024-04-30 16:20:41
