total_baggage,total_cargo,total_mnc,total_mail,departure_airport,combined,timestamp
884.0,0.0,0.0,0.0,DUB,2024-05_MN_1680.0_30.0,2024-04-30 04:43:25
1599.0,0.0,0.0,0.0,DUB,2024-05_MN_1450.0_30.0,2024-04-30 04:51:19
585.0,310.0,0.0,654.0,DUB,2024-05_MN_1602.0_30.0,2024-04-30 04:53:25
1027.0,898.0,0.0,0.0,DUB,2024-05_MN_1592.0_30.0,2024-04-30 04:58:24
1118.0,0.0,0.0,0.0,DUB,2024-05_MN_1152.0_30.0,2024-04-30 05:07:28
377.0,135.0,0.0,0.0,DUB,2024-05_MN_1262.0_30.0,2024-04-30 05:10:13
975.0,157.0,88.0,0.0,DUB,2024-05_MN_1402.0_30.0,2024-04-30 05:10:49
455.0,633.0,0.0,0.0,DUB,2024-05_MN_1202.0_30.0,2024-04-30 05:12:58
637.0,0.0,0.0,0.0,DUB,2024-05_MN_1332.0_30.0,2024-04-30 05:15:14
728.0,94.0,0.0,636.0,DUB,2024-05_MN_1520.0_30.0,2024-04-30 05:15:59
507.0,0.0,176.0,0.0,DUB,2024-05_MN_4250.0_30.0,2024-04-30 05:18:38
1781.0,99.0,0.0,0.0,DUB,2024-05_MN_1562.0_30.0,2024-04-30 05:28:41
1196.0,0.0,0.0,0.0,DUB,2024-05_MN_1692.0_30.0,2024-04-30 05:28:42
1170.0,401.0,0.0,268.0,DUB,2024-05_MN_1630.0_30.0,2024-04-30 05:31:49
975.0,0.0,0.0,0.0,DUB,2024-05_MN_1342.0_30.0,2024-04-30 05:34:03
1001.0,0.0,0.0,0.0,DUB,2024-05_MN_1532.0_30.0,2024-04-30 05:38:26
936.0,0.0,0.0,0.0,DUB,2024-05_MN_1352.0_30.0,2024-04-30 05:38:58
1443.0,107.0,0.0,551.0,DUB,2024-05_MN_1432.0_30.0,2024-04-30 05:45:30
1300.0,0.0,0.0,0.0,DUB,2024-05_MN_1650.0_30.0,2024-04-30 05:45:32
1885.0,0.0,0.0,0.0,DUB,2024-05_MN_1476.0_30.0,2024-04-30 05:53:11
1677.0,0.0,0.0,0.0,DUB,2024-05_MN_1422.0_30.0,2024-04-30 06:04:13
3601.0,0.0,0.0,0.0,DUB,2024-05_MN_1580.0_30.0,2024-04-30 06:07:58
1456.0,0.0,0.0,0.0,DUB,2024-05_MN_1492.0_30.0,2024-04-30 06:08:46
312.0,0.0,0.0,0.0,DUB,2024-05_MN_1154.0_30.0,2024-04-30 06:11:16
1313.0,0.0,0.0,0.0,DUB,2024-05_MN_1672.0_30.0,2024-04-30 06:20:32
1118.0,0.0,0.0,0.0,DUB,2024-05_MN_1522.0_30.0,2024-04-30 06:37:15
572.0,0.0,0.0,0.0,DUB,2024-05_MN_1156.0_30.0,2024-04-30 07:35:57
1508.0,0.0,0.0,0.0,DUB,2024-05_MN_1154.0_1.0,2024-04-30 08:09:34
650.0,1169.0,0.0,0.0,DUB,2024-05_MN_1158.0_30.0,2024-04-30 08:29:13
1560.0,304.0,0.0,0.0,DUB,2024-05_MN_1524.0_30.0,2024-04-30 08:42:52
962.0,0.0,0.0,0.0,DUB,2024-05_MN_1604.0_30.0,2024-04-30 09:01:59
1209.0,0.0,440.0,0.0,DUB,2024-05_MN_1392.0_30.0,2024-04-30 09:04:52
1170.0,0.0,0.0,0.0,DUB,2024-05_MN_1544.0_30.0,2024-04-30 09:35:02
3345.0,5134.0,75.0,1185.0,DUB,2024-05_MN_1105.0_30.0,2024-04-30 09:46:55
715.0,0.0,273.0,0.0,DUB,2024-05_MN_1162.0_30.0,2024-04-30 09:55:18
2685.0,4473.0,75.0,0.0,DUB,2024-05_MN_1133.0_30.0,2024-04-30 10:23:05
3030.0,9974.0,75.0,0.0,DUB,2024-05_MN_1123.0_30.0,2024-04-30 10:32:14
2366.0,113.0,0.0,0.0,DUB,2024-05_MN_1584.0_30.0,2024-04-30 10:35:10
1703.0,0.0,0.0,0.0,DUB,2024-05_MN_1748.0_30.0,2024-04-30 10:49:12
728.0,879.0,0.0,0.0,DUB,2024-05_MN_1164.0_30.0,2024-04-30 11:00:30
364.0,0.0,0.0,0.0,DUB,2024-05_MN_1160.0_30.0,2024-04-30 11:13:14
