total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
2020.0,0.0,0.0,GRU,2024-05_ZY_999.0_30.0,2024-04-30 10:35:36
18160.0,0.0,0.0,BEL,2024-05_ZY_4483.0_30.0,2024-04-30 12:46:32
25020.0,0.0,0.0,LIS,2024-05_ZY_9888.0_30.0,2024-04-30 13:02:41
13482.0,0.0,0.0,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:57:41
5.0,0.0,0.0,VCP,2024-05_ZY_2002.0_30.0,2024-04-30 18:39:57
20.0,15.0,0.0,VCP,2024-05_ZY_2001.0_30.0,2024-04-30 18:40:58
10.0,15.0,0.0,VCP,2024-05_ZY_2007.0_30.0,2024-04-30 18:41:00
3.0,7.0,0.0,VCP,2024-05_ZY_2014.0_30.0,2024-04-30 18:41:06
5.0,15.0,0.0,VCP,2024-05_ZY_2020.0_30.0,2024-04-30 18:41:11
5.0,10.0,0.0,VCP,2024-05_ZY_2021.0_30.0,2024-04-30 18:41:11
5.0,15.0,0.0,VCP,2024-05_ZY_2008.0_30.0,2024-04-30 18:41:15
9.0,23.0,0.0,VCP,2024-05_ZY_2006.0_30.0,2024-04-30 18:41:16
10.0,35.0,0.0,VCP,2024-05_ZY_2003.0_30.0,2024-04-30 18:41:22
2.0,30.0,0.0,VCP,2024-05_ZY_2015.0_30.0,2024-04-30 18:41:28
2.0,5.0,0.0,VCP,2024-05_ZY_2009.0_30.0,2024-04-30 18:41:29
5.0,22.0,0.0,VCP,2024-05_ZY_2019.0_30.0,2024-04-30 18:41:30
3.0,30.0,0.0,VCP,2024-05_ZY_2011.0_30.0,2024-04-30 18:41:36
3.0,50.0,0.0,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:41:36
5.0,20.0,0.0,VCP,2024-05_ZY_2004.0_30.0,2024-04-30 18:41:44
10.0,40.0,0.0,VCP,2024-05_ZY_2005.0_30.0,2024-04-30 18:41:47
0.0,10.0,0.0,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:46:25
2.0,69.0,0.0,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:46:29
0.0,30.0,0.0,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:46:32
0.0,0.0,0.0,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:10:53
